id,base_instance_id,campus,size,crew_q,n_wos,window_bh,n_technicians,n_technicians_base,u_realized,u_realized_base,u_shift,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl308,308,1,8.0,31.0486,2.8520513333333333,0.006666666666666667,0.026579722994938493
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl309,309,1,8.0,31.0486,2.8528373333333334,0.006666666666666667,0.026650608982890844
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl310,310,1,8.0,31.0486,2.844324,0.006666666666666667,0.025685962988063693
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,edd,301,1,0.0,24.8247,3.021910666666667,0.0,0.0004189140163362026
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,pfifo,301,1,0.0,24.8247,3.021910666666667,0.0,0.0004319270374253392
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,wspt,301,1,0.0,24.8247,2.9332606666666665,0.0,0.000373097020201385
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,atc,301,1,0.0,24.8247,2.9332606666666665,0.0,0.0005859209923073649
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,wmdd,301,1,0.0,24.8247,3.021910666666667,0.0,0.00043463497422635555
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,lpt,301,1,0.0,24.8247,3.1964533333333334,0.0,0.0003466010093688965
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,random,301,1,0.0,24.8247,3.059786666666666,0.0,0.00029919901862740517
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl301,301,1,0.0,24.8247,3.1964533333333334,0.0,0.02822082897182554
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl302,302,1,0.0,24.8247,3.196453333333334,0.0,0.026982745970599353
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl303,303,1,0.0,24.8247,3.1964533333333334,0.0,0.027325527975335717
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl304,304,1,0.0,24.8247,3.006594,0.0,0.02786872908473015
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl305,305,1,0.0,24.8247,3.1964533333333334,0.0,0.02757026709150523
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl306,306,1,0.0,24.8247,3.1964533333333334,0.0,0.027489447966217995
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl307,307,1,0.0,24.8247,2.9532606666666665,0.0,0.027461395016871393
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl308,308,1,0.0,24.8247,3.189786666666667,0.0,0.02768708299845457
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl309,309,1,0.0,24.8247,3.1964533333333334,0.0,0.027418648009188473
c01_final_150_0003_q75,c01_final_150_0003,1,150,0.75,150,8.2836,60,94,0.60159,0.383994,0.217596,v2rl310,310,1,0.0,24.8247,3.1964533333333334,0.0,0.02672762400470674
c01_final_150_0003_q90,c01_final_150_0003,1,150,0.9,150,8.2836,80,94,0.451193,0.383994,0.067199,edd,301,1,0.0,24.8247,2.6679413333333333,0.0,0.0004024340305477381
c01_final_150_0003_q90,c01_final_150_0003,1,150,0.9,150,8.2836,80,94,0.451193,0.383994,0.067199,pfifo,301,1,0.0,24.8247,2.6679413333333333,0.0,0.0004127159481868148
c01_final_150_0003_q90,c01_final_150_0003,1,150,0.9,150,8.2836,80,94,0.451193,0.383994,0.067199,wspt,301,1,0.0,24.8247,2.634608,0.0,0.00035666406620293856
c01_final_150_0003_q90,c01_final_150_0003,1,150,0.9,150,8.2836,80,94,0.451193,0.383994,0.067199,atc,301,1,0.0,24.8247,2.634608,0.0,0.0005540199344977736
c01_final_150_0003_q90,c01_final_150_0003,1,150,0.9,150,8.2836,80,94,0.451193,0.383994,0.067199,wmdd,301,1,0.0,24.8247,2.6679413333333333,0.0,0.000395921990275383
