update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
211,-1.535804,410.680213,0.349020,1.817589,0.786
212,-2.918385,410.680213,0.813192,0.553465,1.067
213,-1.962205,410.680213,0.694442,1.193767,0.787
214,-3.952798,410.680213,0.636537,1.785278,1.050
215,-2.716206,410.680213,0.856162,0.840380,0.809
216,-3.254108,410.680213,0.777740,1.679952,1.043
217,-4.493387,410.680213,0.590957,1.255991,0.789
218,-1.106491,410.680213,0.598627,0.254644,1.053
219,-0.982334,410.680213,0.604649,0.360394,0.757
220,-2.362966,410.680213,0.485654,1.382278,1.868
221,-3.951718,410.680213,0.668999,1.215386,0.753
222,-4.193326,410.680213,0.637504,2.501930,1.021
223,-3.476775,410.680213,0.439704,1.474192,0.758
224,-3.415562,410.680213,0.652963,2.242655,1.021
225,-2.189503,410.680213,0.364790,1.913418,0.752
226,-5.651260,410.680213,0.681624,2.867567,1.039
227,-3.183807,410.680213,0.965358,2.420661,0.806
228,-2.165478,410.680213,0.798995,1.041248,1.022
229,-1.684750,410.680213,0.791953,0.926367,0.807
230,-2.856087,410.680213,0.920449,1.148771,1.080
231,-4.197549,410.680213,0.664688,1.701810,0.718
232,-3.205158,410.680213,0.757271,2.101642,1.078
233,-5.623712,410.680213,0.469021,1.447243,0.750
234,-1.709546,410.680213,0.513652,1.506034,1.031
235,-2.549405,410.680213,0.463933,1.414549,0.750
236,-4.251733,410.680213,0.754700,3.224508,1.029
237,-3.456542,410.680213,0.366068,2.378945,0.757
238,-3.153828,410.680213,0.480203,1.740627,1.018
239,-3.912625,410.680213,0.376004,1.349810,0.767
240,-3.559322,410.680213,0.439932,1.947842,1.880
241,-1.585423,410.680213,0.393990,0.801771,0.715
242,-2.162062,410.680213,0.579436,0.870267,1.019
243,-2.227200,410.680213,0.822417,0.625955,0.805
244,-2.431686,410.680213,0.824259,1.174900,1.035
245,-3.617296,410.680213,0.598976,1.038592,0.775
246,-2.572606,410.680213,0.499257,1.584340,0.990
247,-2.846743,410.680213,0.704185,1.453957,0.773
248,-3.675760,410.680213,0.557816,1.337732,1.016
249,-1.622441,410.680213,0.849868,0.850735,0.795
250,-1.306040,410.680213,0.618239,0.689888,1.028
251,-2.255081,410.680213,0.634482,1.179466,0.753
252,-2.631014,410.680213,0.518503,0.760655,0.982
253,-1.491800,410.680213,0.528236,0.552524,0.782
254,-2.182513,410.680213,0.347647,0.647026,1.009
255,-2.525056,410.680213,0.313624,1.370655,0.718
256,-2.530885,410.680213,0.482091,0.853285,0.984
257,-2.803403,410.680213,0.568761,1.746307,0.771
258,-2.137264,410.680213,0.697923,0.734947,0.999
259,-2.625086,410.680213,0.615770,1.503609,0.715
260,-3.558761,410.680213,0.631958,1.645159,1.881
261,-2.686089,410.680213,0.400149,1.511649,0.743
262,-4.507053,410.680213,0.467463,2.060960,1.008
263,-3.262436,410.680213,0.599342,1.941864,0.776
264,-2.487223,410.680213,0.330568,1.365754,1.004
265,-3.107022,410.680213,0.740467,1.267745,0.794
266,-2.839062,410.680213,0.749796,0.989944,1.084
267,-1.765694,410.680213,0.759989,1.134032,0.759
268,-2.382582,410.680213,0.668399,1.840673,1.013
269,-3.818325,410.680213,0.348113,1.641017,0.724
270,-4.148404,410.680213,0.611517,2.364701,1.028
271,-2.610891,410.680213,0.406666,1.471889,0.751
272,-3.032788,410.680213,0.516499,2.048268,0.971
273,-3.040238,410.680213,0.684550,1.658987,0.777
274,-0.848447,410.680213,0.606282,1.250357,1.022
275,-3.624983,410.680213,0.533952,1.096876,0.748
276,-1.926193,410.680213,0.627394,1.519188,1.048
277,-3.966119,410.680213,0.486184,2.806549,0.778
278,-3.516789,410.680213,0.509319,2.124068,1.057
279,-5.510090,410.680213,0.650863,1.433871,0.770
280,-1.978241,410.680213,0.541004,1.105431,1.946
281,-6.166041,410.680213,0.344011,3.199921,0.775
282,-4.307900,410.680213,0.388076,1.450201,0.820
283,-1.312553,410.680213,0.678372,0.523456,0.758
284,-2.165810,410.680213,0.485909,1.186141,1.016
285,-2.389296,410.680213,0.491269,1.466820,0.758
286,-2.451626,410.680213,0.867992,0.563906,1.076
287,-1.538483,410.680213,0.729817,0.596841,0.803
288,-2.052366,410.680213,0.856077,0.808238,1.084
289,-1.875056,410.680213,0.792795,0.386182,0.859
