region,region_label,pm_shares,u_targets,arm,level,n_configs,n_clusters,mean_control,mean_diff,pct_of_control,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,verdict,n_seeds,n_seeds_improved,n_seeds_better,n_seeds_worse,seed_pct_min,seed_pct_max
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed504,8,60,60,1270.3177433333335,72.81842666666674,5.732300209834907,39.79171658333346,109.05858308333347,3.132422324427224,8.585142076120425,worse,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed505,8,60,60,4665.668953333331,604.7346633333334,12.961371014145527,411.80017441666723,818.3459308333336,8.826176450484374,17.539734152134308,worse,5,2,0,2,-0.3375780344083794,12.961371014145527
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,vispool,40,60,60,1938.9354099999994,151.5480213333331,7.816042790890758,110.2740712999998,197.42547988333268,5.687351457468087,10.182158666303009,worse,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,atc_la,40,60,60,1247.6933233333332,0.08895333333331999,0.007129422885398839,-1.768995083333341,1.8711389999999761,-0.14178124145180962,0.14996786189422315,equivalent,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed501,40,60,60,1252.1405866666669,4.639646666666628,0.3705371997419129,-0.3228066666666526,11.217897249999963,-0.02578038521425128,0.8958975828635356,equivalent,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed502,40,60,60,1253.5624366666666,-0.03815666666664773,-0.0030438584908550454,-2.7830015833333306,2.683741749999941,-0.22200741677722716,0.21408919663676648,equivalent,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed503,40,60,60,1252.98733,-0.6570133333333634,-0.05243575234981533,-3.390620166666655,2.1209181666666725,-0.27060290918238217,0.16926892362644025,equivalent,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed504,40,60,60,1270.3177433333335,142.33812000000006,11.204922606725354,79.2178758333334,213.74138041666671,6.236067806583923,16.825820275154626,worse,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed505,40,60,60,4665.668953333331,611.4575099999992,13.10546282035614,403.49455283333293,845.9493469999985,8.648160786141098,18.131362414721263,worse,5,2,0,2,-0.05243575234981533,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,vispool,full,60,60,1938.9354099999994,151.1792786666665,7.797025000779502,110.44788526666646,195.91754798333312,5.696315859570922,10.104387540342728,worse,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,atc_la,full,60,60,1247.6933233333332,0.08895333333331999,0.007129422885398839,-1.7881889166666547,1.9060870000000623,-0.14331958689089844,0.15276887071157572,equivalent,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed501,full,60,60,1252.1405866666669,3.4579166666666037,0.27616041708798456,0.39439849999999965,6.7894294999999705,0.03149794074241543,0.542225814920205,equivalent,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed502,full,60,60,1253.5624366666666,0.17364999999999023,0.013852521016961942,-2.706667250000001,2.937548250000059,-0.21591802456982268,0.23433601423246692,equivalent,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed503,full,60,60,1252.98733,-1.530803333333399,-0.12217229150540565,-4.349142000000061,1.3336331666666934,-0.3471018338230173,0.10643628508731157,equivalent,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed504,full,60,60,1270.3177433333335,142.33812000000006,11.204922606725354,79.24332450000004,214.91495916666673,6.238071137388377,16.918204936878748,worse,5,1,0,2,-0.12217229150540565,13.10546282035614
negativepeak,"high preventive share above capacity (pm share 0.8, target utilization 1.1)",0.8,1.1,visseed505,full,60,60,4665.668953333331,611.4575099999992,13.10546282035614,404.76419433333336,840.262567916666,8.67537320761162,18.009476804314428,worse,5,1,0,2,-0.12217229150540565,13.10546282035614
