id,base_instance_id,campus,size,transform,backdate_seed,max_shift_frac,n_wos,n_corrective,corrective_share,mean_delta_bh,max_delta_bh,n_clamped_at_zero,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl304,304,1,0.0,18.5,2.352206666666667,0.0,0.026654226938262582
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl305,305,1,0.0,18.5,2.3656306666666667,0.0,0.026098326896317303
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl306,306,1,0.0,18.5,2.3656306666666667,0.0,0.026522548054344952
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl307,307,1,0.0,18.5,2.3455419999999996,0.0,0.026990412967279553
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl308,308,1,0.0,18.5,2.358966,0.0,0.026842511957511306
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl309,309,1,0.0,18.5,2.3656306666666667,0.0,0.02733829105272889
c01_final_150_0003_bd,c01_final_150_0003,1,150,backdate,424242,0.5,150,61,0.406667,10.9233,75.1001,47,8.2836,0.383994,v2rl310,310,1,0.0,18.5,2.365630666666666,0.0,0.026857635006308556
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,edd,301,1,0.0,24.0,3.073645333333334,0.0,0.0007018540054559708
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,pfifo,301,1,0.0,24.0,3.073645333333334,0.0,0.0017479389207437634
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,wspt,301,1,0.0,24.0,2.9170433333333334,0.0,0.0007154359482228756
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,atc,301,1,0.0,24.0,2.9170433333333334,0.0,0.0011565510649234056
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,wmdd,301,1,0.0,24.0,3.073645333333334,0.0,0.0008846019627526402
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,lpt,301,1,0.0,16.0,3.5026340000000005,0.0,0.0006091200048103929
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,random,301,1,0.0,19.0,3.1815560000000005,0.0,0.0003322080010548234
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl301,301,1,0.0,17.0,3.3426340000000003,0.0,0.02856856200378388
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl302,302,1,0.0,17.0,3.3426340000000003,0.0,0.027581352973356843
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl303,303,1,0.0,17.0,3.3426340000000003,0.0,0.02734631102066487
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl304,304,1,0.0,17.0,3.1503766666666673,0.0,0.027583852061070502
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl305,305,1,0.0,17.0,3.3226340000000008,0.0,0.02726017590612173
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl306,306,1,0.0,17.0,3.3426340000000003,0.0,0.027574879000894725
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl307,307,1,0.0,18.0,3.1437100000000004,0.0,0.02793882298283279
