id,campus,track,size,method,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,status,objective_bh,best_bound_bh,reused_from_60
c01_gen_150_0008,1,generator,150,random,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,0.0003417149418964982,150,,,,False
c01_gen_150_0008,1,generator,150,ga,1,0.0,30.9018,2.968420666666667,0.0,0.0,0.0,0.0,0.0,2.2838986290153116,19700,,,,False
c01_gen_150_0008,1,generator,150,cpsat60,1,0.0,30.903,2.99513,0.0,0.0,0.0,0.0,0.0,0.12762294407002628,5746,OPTIMAL,0.0,0.0,False
c01_gen_150_0008,1,generator,150,cpsat300,1,0.0,30.903,2.99513,0.0,0.0,0.0,0.0,0.0,0.12762294407002628,5746,OPTIMAL,0.0,0.0,True
c01_gen_150_0009,1,generator,150,edd,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.00029079499654471874,150,,,,False
c01_gen_150_0009,1,generator,150,wspt,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0002661150647327304,150,,,,False
c01_gen_150_0009,1,generator,150,atc,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0003218400524929166,150,,,,False
c01_gen_150_0009,1,generator,150,pfifo,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0002562879817560315,150,,,,False
c01_gen_150_0009,1,generator,150,lpt,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.000250010984018445,150,,,,False
c01_gen_150_0009,1,generator,150,wmdd,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0002735590096563101,150,,,,False
c01_gen_150_0009,1,generator,150,random,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.0002455199137330055,150,,,,False
c01_gen_150_0009,1,generator,150,ga,1,91.85,63.007,3.1359173333333334,0.006666666666666667,,0.014705882352941176,0.0,0.0,1.7726450719637796,19700,,,,False
c01_gen_150_0009,1,generator,150,cpsat60,1,91.87200000000001,63.0125,3.140798666666666,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.11623349797446281,4705,OPTIMAL,91.92,91.92,False
c01_gen_150_0009,1,generator,150,cpsat300,1,91.87200000000001,63.0125,3.140798666666666,0.006666666666666667,,0.014705882352941176,0.0,0.0,0.11623349797446281,4705,OPTIMAL,91.92,91.92,True
c01_gen_150_0010,1,generator,150,edd,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0003863929305225611,150,,,,False
c01_gen_150_0010,1,generator,150,wspt,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.00036761106457561255,150,,,,False
c01_gen_150_0010,1,generator,150,atc,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0004621190018951893,150,,,,False
c01_gen_150_0010,1,generator,150,pfifo,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0003586709499359131,150,,,,False
c01_gen_150_0010,1,generator,150,lpt,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0003496849676594138,150,,,,False
c01_gen_150_0010,1,generator,150,wmdd,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0003763859858736396,150,,,,False
c01_gen_150_0010,1,generator,150,random,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,0.0003482040483504534,150,,,,False
c01_gen_150_0010,1,generator,150,ga,1,0.0,31.484099999999998,2.8477566666666667,0.0,0.0,0.0,0.0,0.0,2.0184153420850635,19700,,,,False
c01_gen_150_0010,1,generator,150,cpsat60,1,0.0,31.4912,2.852363333333333,0.0,0.0,0.0,0.0,0.0,0.1037834850139916,5145,OPTIMAL,0.0,0.0,False
c01_gen_150_0010,1,generator,150,cpsat300,1,0.0,31.4912,2.852363333333333,0.0,0.0,0.0,0.0,0.0,0.1037834850139916,5145,OPTIMAL,0.0,0.0,True
c01_gen_150_0011,1,generator,150,edd,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.0003904869081452489,150,,,,False
c01_gen_150_0011,1,generator,150,wspt,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.0003573640715330839,150,,,,False
c01_gen_150_0011,1,generator,150,atc,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.00044865207746624947,150,,,,False
c01_gen_150_0011,1,generator,150,pfifo,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.0003499200101941824,150,,,,False
c01_gen_150_0011,1,generator,150,lpt,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.00034692499320954084,150,,,,False
c01_gen_150_0011,1,generator,150,wmdd,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.00036462198477238417,150,,,,False
c01_gen_150_0011,1,generator,150,random,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,0.00034276407677680254,150,,,,False
c01_gen_150_0011,1,generator,150,ga,1,0.0,33.990899999999996,3.4348786666666666,0.0,0.0,0.0,0.0,0.0,1.9019659970654175,19700,,,,False
