arm,rule,dropped,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,verdict,full_mean_diff,full_ci_lo,full_ci_hi,full_margin,full_verdict,delta_vs_full,verdict_changed
q0.90,wmdd,c02_final_150_0010,16,16,1851.2775375,1476.1764875000001,-375.10105,-785.4698462499999,-69.35256718750007,18.512775375,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.06476764705883,0
q0.90,wmdd,c02_final_150_0011,16,16,1713.7205375000003,1351.790475,-361.9300625,-778.4977721874995,-49.607914375000185,17.137205375000004,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-8.893780147058862,0
q0.90,wmdd,c02_final_150_0012,16,16,1783.0689500000003,1406.3479000000002,-376.72105,-786.8024087499998,-66.31350843750035,17.830689500000002,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-23.684767647058834,0
q0.90,wmdd,c02_final_150_0013,16,16,1702.3535124999999,1375.8886375000002,-326.46487499999995,-746.9127815624997,-22.232990624999935,17.023535125,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,26.571407352941208,0
q0.90,wmdd,c02_final_150_0014,16,16,1674.478525,1321.3745625000001,-353.10396249999997,-770.3210834374999,-43.49290125000003,16.74478525,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-0.06768014705880887,0
q0.90,wmdd,c02_final_150_0015,16,16,1834.1881375000003,1458.7295875,-375.45855,-789.8166403125,-69.55265218750027,18.341881375000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,-22.422267647058845,0
q0.90,wmdd,c02_final_150_0016,16,16,1541.0048125000003,1342.8890125,-198.11580000000015,-425.02329562500034,-19.833272812499917,15.410048125000003,better,-353.03628235294116,-740.6530208823527,-59.857730882353145,17.701799882352944,better,154.920482352941,0
q0.90,atc,c02_final_150_0000,16,16,1788.2815500000002,1479.070725,-309.21082500000006,-715.2315012500001,-16.73051000000014,17.882815500000003,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-19.33988382352942,0
q0.90,atc,c02_final_150_0001,16,16,1826.0305750000002,1511.4593750000001,-314.57120000000003,-718.9678512500001,-14.386110625000045,18.260305750000004,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-24.700258823529396,0
q0.90,atc,c02_final_150_0002,16,16,1826.7658875000002,1514.0771625000002,-312.68872500000003,-724.4179140625,-14.85815125000009,18.267658875000002,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-22.817783823529396,0
