arm,rule,cluster,id,wwt_rule,wwt_edd,paired_diff,share_of_total
q0.75,wmdd,c02_final_150_0008,c02_final_150_0008_q75,1189.5704,1136.0600000000002,53.51039999999989,-0.0011766988557844725
q0.75,wmdd,c02_final_150_0009,c02_final_150_0009_q75,4350.2446,7107.267400000001,-2757.0228000000006,0.060627197220198506
q0.75,wmdd,c02_final_150_0010,c02_final_150_0010_q75,613.3256,593.7652,19.56039999999996,-0.0004301350821277097
q0.75,wmdd,c02_final_150_0011,c02_final_150_0011_q75,4479.457,10063.806600000004,-5584.349600000003,0.12280038617951827
q0.75,wmdd,c02_final_150_0012,c02_final_150_0012_q75,2334.6328000000003,3353.226200000001,-1018.5934000000007,0.022398967084709117
q0.75,wmdd,c02_final_150_0013,c02_final_150_0013_q75,3875.1172,11294.113600000002,-7418.996400000002,0.16314444621884983
q0.75,wmdd,c02_final_150_0014,c02_final_150_0014_q75,6266.606000000002,13683.634399999994,-7417.028399999992,0.1631011697090836
q0.75,wmdd,c02_final_150_0015,c02_final_150_0015_q75,780.4296000000002,767.1364000000001,13.29320000000007,-0.00029231874980778066
q0.75,wmdd,c02_final_150_0016,c02_final_150_0016_q75,6530.7298,14860.481800000003,-8329.752000000004,0.18317204968321013
q0.75,atc,c02_final_150_0000,c02_final_150_0000_q75,2388.222,3195.594399999999,-807.3723999999988,0.01696200482506748
q0.75,atc,c02_final_150_0001,c02_final_150_0001_q75,2034.6108,3167.882199999999,-1133.2713999999992,0.02380878384610496
q0.75,atc,c02_final_150_0002,c02_final_150_0002_q75,1630.4724,2296.2591999999995,-665.7867999999994,0.01398744732178886
q0.75,atc,c02_final_150_0003,c02_final_150_0003_q75,249.8162,206.0562,43.76000000000002,-0.0009193493995397345
q0.75,atc,c02_final_150_0004,c02_final_150_0004_q75,762.961,759.961,3.0,-6.302669558087757e-05
q0.75,atc,c02_final_150_0005,c02_final_150_0005_q75,158.88,149.06720000000007,9.812799999999925,-0.00020615611946534355
q0.75,atc,c02_final_150_0006,c02_final_150_0006_q75,3040.396,8539.420399999999,-5499.024399999998,0.1155284456168726
q0.75,atc,c02_final_150_0007,c02_final_150_0007_q75,6529.3746,14536.0766,-8006.702,0.1682119898536012
q0.75,atc,c02_final_150_0008,c02_final_150_0008_q75,1264.2268,1136.0600000000002,128.16679999999974,-0.0026926432957250675
q0.75,atc,c02_final_150_0009,c02_final_150_0009_q75,4387.227000000001,7107.267400000001,-2720.0404,0.05714505275282948
