check,arm,stratum,method,reference,reference_role,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
backdate,backdate,verdict,v2rl307,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,444.9597977777778,0.019328888888888212,-0.07516188888889025,0.13497777777777806,4.449404688888889,0.7348605992017886,1.0,equivalent
backdate,backdate,verdict,v2rl308,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,444.9443755555556,0.003906666666666246,-0.10952444444444483,0.13288444444444344,4.449404688888889,0.9162824413291019,1.0,equivalent
backdate,backdate,verdict,v2rl309,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,445.1422466666667,0.20177777777777775,-0.027827777777777733,0.6313333333333333,4.449404688888889,0.4652088184521418,1.0,equivalent
backdate,backdate,verdict,v2rl310,v2rl302,baseline_best,policy-vs-policy,180,180,444.9404688888889,444.9404688888889,0.0,-0.03333333333333333,0.03333333333333333,4.449404688888889,1.0,1.0,equivalent
backdate,backdate,campus1,edd,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,pfifo,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,wspt,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,81.02493333333334,0.3333333333333333,-0.26666666666666666,1.0666666666666667,1.0,0.28504940740261275,1.0,inconclusive
backdate,backdate,campus1,wmdd,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,80.60481333333334,-0.08678666666666666,-0.4,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,lpt,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,random,atc,baseline_best,rule-vs-rule,30,30,80.69160000000001,80.60481333333334,-0.08678666666666666,-0.4,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl301,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl302,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl303,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl304,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.42493333333333,-0.26666666666666666,-0.8,0.0,1.0,0.31731050786291415,1.0,equivalent
backdate,backdate,campus1,v2rl305,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl306,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl307,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.42493333333333,-0.26666666666666666,-0.8,0.0,1.0,0.31731050786291415,1.0,equivalent
backdate,backdate,campus1,v2rl308,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl309,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.47148,-0.22012,-0.8,0.13964,1.0,0.6547208460185769,1.0,equivalent
backdate,backdate,campus1,v2rl310,atc,baseline_best,policy-vs-rule,30,30,80.69160000000001,80.42493333333333,-0.26666666666666666,-0.8,0.0,1.0,0.31731050786291415,1.0,equivalent
backdate,backdate,campus2,edd,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,1292.8646352941175,26.951199999999968,-34.49765647058836,121.03923470588222,12.659134352941178,0.4703377962613965,0.940675592522793,inconclusive
backdate,backdate,campus2,pfifo,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,1292.8646352941175,26.951199999999968,-34.43041647058836,119.30193588235277,12.659134352941178,0.4703377962613965,0.940675592522793,inconclusive
backdate,backdate,campus2,wspt,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,1357.6961882352941,91.78275294117643,26.09532323529413,165.07238235294102,12.659134352941178,0.008360653818070695,0.03344261527228278,worse
backdate,backdate,campus2,atc,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,1310.0192588235293,44.10582352941168,-1.158011176470611,92.31061058823516,12.659134352941178,0.04132685891250041,0.12398057673750124,inconclusive
backdate,backdate,campus2,lpt,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,3312.1681647058817,2046.2547294117642,955.9250011764705,3301.373359411764,12.659134352941178,0.002162232660801692,0.01081116330400846,worse
backdate,backdate,campus2,random,wmdd,baseline_best,rule-vs-rule,17,17,1265.9134352941178,1857.4636000000003,591.5501647058824,285.7935188235295,961.3024494117649,12.659134352941178,0.0002899169921875,0.001739501953125,worse
backdate,backdate,campus2,v2rl301,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,2309.0003294117646,1043.0868941176468,372.2840835294117,1793.8367355882347,12.659134352941178,0.010593539088689496,0.09534185179820547,worse
backdate,backdate,campus2,v2rl302,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,1512.922305882353,247.00887058823525,52.772775294117665,515.414821764706,12.659134352941178,0.08840247992639415,0.44201239963197075,worse
backdate,backdate,campus2,v2rl303,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,2619.502329411765,1353.5888941176472,593.4950064705881,2221.356336470588,12.659134352941178,0.004514052854917141,0.04514052854917141,worse
backdate,backdate,campus2,v2rl304,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,1557.4459882352944,291.5325529411765,30.952623235294116,624.0437244117649,12.659134352941178,0.28053090025207417,0.44201239963197075,worse
backdate,backdate,campus2,v2rl305,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,2066.273764705882,800.3603294117647,320.63963676470587,1351.9875805882352,12.659134352941178,0.014596605678345812,0.1167728454267665,worse
backdate,backdate,campus2,v2rl306,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,2133.7528,867.8393647058823,271.3267261764706,1535.539552352941,12.659134352941178,0.04088813291185591,0.24532879747113545,worse
backdate,backdate,campus2,v2rl307,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,2038.8645529411767,772.9511176470588,211.72646588235293,1448.207467647057,12.659134352941178,0.08840247992639415,0.44201239963197075,worse
backdate,backdate,campus2,v2rl308,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,1518.7552117647058,252.8417764705883,38.62659823529415,540.5138352941177,12.659134352941178,0.023095732617466558,0.1616701283222659,worse
backdate,backdate,campus2,v2rl309,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,1516.9960823529414,251.0826470588235,45.91920676470592,541.312499117647,12.659134352941178,0.13975586593901426,0.44201239963197075,worse
backdate,backdate,campus2,v2rl310,wmdd,baseline_best,policy-vs-rule,17,17,1265.9134352941178,1531.6334000000002,265.71996470588226,29.190670294117638,571.8293026470586,12.659134352941178,0.15563546075803855,0.44201239963197075,worse
sla,baseline,verdict,edd,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,444.8689277777778,0.1879111111111126,0.025004444444444593,0.4049353333333399,4.446810166666667,0.03546586462402558,0.07093172924805116,equivalent
sla,baseline,verdict,pfifo,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,444.8689277777778,0.1879111111111126,0.024799611111111414,0.4100377777777818,4.446810166666667,0.03546586462402558,0.07093172924805116,equivalent
sla,baseline,verdict,wspt,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,446.6459477777778,1.9649311111111145,0.8849688333333338,3.2674708333333387,4.446810166666667,1.7564851371585654e-05,0.00012295395960109956,equivalent
sla,baseline,verdict,atc,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.5551500000001,0.8741333333333341,0.24919172222222194,1.6550622777777853,4.446810166666667,0.012792160247732852,0.05116864099093141,equivalent
sla,baseline,verdict,wmdd,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.3319900000001,0.6509733333333377,0.16130961111111145,1.2651654444444553,4.446810166666667,0.020879263166351643,0.06263778949905494,equivalent
sla,baseline,verdict,lpt,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.5785988888889,0.8975822222222226,0.07588544444444231,2.4244264444444537,4.446810166666667,0.007685794055213263,0.038428970276066315,equivalent
sla,baseline,verdict,random,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,446.3160666666667,1.6350499999999972,0.5753241944444419,3.137703361111106,4.446810166666667,0.0001318338889828333,0.0007910033338969998,equivalent
sla,baseline,verdict,v2rl301,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.75599888888894,0.07498222222222037,0.013888888888888888,0.15551699999999377,4.446810166666667,0.043114446783075355,0.3880300210476782,equivalent
sla,baseline,verdict,v2rl303,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.73146333333335,0.05044666666666823,0.0,0.12268000000000004,4.446810166666667,0.10880943004054568,0.4352377201621827,equivalent
sla,baseline,verdict,v2rl304,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.7625444444445,0.08152777777777974,-0.002406666666666663,0.1962586388888946,4.446810166666667,0.14412703481601533,0.4352377201621827,equivalent
sla,baseline,verdict,v2rl305,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.76037666666673,0.07935999999999695,0.011111111111111112,0.18202666666666117,4.446810166666667,0.043114446783075355,0.3880300210476782,equivalent
sla,baseline,verdict,v2rl306,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.85855888888887,0.17754222222222324,0.007160000000000208,0.4838055555555583,4.446810166666667,0.06788915486182899,0.3880300210476782,equivalent
sla,baseline,verdict,v2rl307,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.7699366666667,0.08892000000000182,0.013888888888888888,0.1862355555555578,4.446810166666667,0.046399461870904594,0.3880300210476782,equivalent
sla,baseline,verdict,v2rl308,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.70772111111114,0.026704444444443552,0.0,0.0649199999999938,4.446810166666667,0.10880943004054568,0.4352377201621827,equivalent
