check,arm,stratum,method,family,rank,n_rows,coverage,mean,best_method,mean_best,pct_from_best,abs_from_best,n_tied_with_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set
pmodel,sum,campus2,v2rl309,policy,9,17,1.0,1453.0060823529411,wmdd,1218.2288470588235,19.272014109741498,234.77723529411765,1,17,17,234.7772352941176,57.099894117647096,525.7912141176469,12.182288470588235,0.012063323418854825,worse,0
pmodel,sum,campus2,v2rl308,policy,10,17,1.0,1494.2145294117647,wmdd,1218.2288470588235,22.654666487274124,275.98568235294124,1,17,17,275.98568235294124,15.247808823529455,683.8380873529409,12.182288470588235,0.13609738111439368,worse,0
pmodel,sum,campus2,random,random,11,17,1.0,1636.0305647058824,wmdd,1218.2288470588235,34.2958319084103,417.8017176470589,1,17,17,417.80171764705887,215.39784558823533,661.251451764706,12.182288470588235,0.0018714329102470324,worse,0
pmodel,sum,campus2,v2rl305,policy,12,17,1.0,1720.644105882353,wmdd,1218.2288470588235,41.24145147576446,502.4152588235295,1,17,17,502.4152588235294,188.44146500000002,917.3618438235292,12.182288470588235,0.004741768038406972,worse,0
pmodel,sum,campus2,v2rl307,policy,13,17,1.0,1751.246494117647,wmdd,1218.2288470588235,43.75349084416207,533.0176470588235,1,17,17,533.0176470588236,193.12754735294124,968.1324120588234,12.182288470588235,0.012063323418854825,worse,0
pmodel,sum,campus2,v2rl301,policy,14,17,1.0,1851.2520352941178,wmdd,1218.2288470588235,51.96258402217331,633.0231882352944,1,17,17,633.0231882352942,225.05518117647065,1116.0518982352937,12.182288470588235,0.012063323418854825,worse,0
pmodel,sum,campus2,v2rl306,policy,15,17,1.0,1863.508082352941,wmdd,1218.2288470588235,52.96863859791358,645.2792352941176,1,17,17,645.2792352941175,260.127394117647,1105.5040597058812,12.182288470588235,0.004741768038406972,worse,0
pmodel,sum,campus2,v2rl303,policy,16,17,1.0,2171.692823529412,wmdd,1218.2288470588235,78.26640936738134,953.4639764705887,1,17,17,953.4639764705884,451.92441588235295,1507.92646,12.182288470588235,0.0028734139278525227,worse,0
pmodel,sum,campus2,lpt,processing,17,17,1.0,2615.111835294117,wmdd,1218.2288470588235,114.66507229801657,1396.8829882352936,1,17,17,1396.8829882352936,683.1075429411763,2224.13401352941,12.182288470588235,0.0018714329102470324,worse,0
pmodel,max,verdict,v2rl310,policy,1,180,1.0,64.92746666666666,v2rl310,64.92746666666666,0.0,0.0,1,180,180,0.0,0.0,0.0,1.0,1.0,equivalent,1
pmodel,max,verdict,v2rl301,policy,2,180,1.0,65.8732088888889,v2rl310,64.92746666666666,1.4566134654192109,0.9457422222222363,1,180,180,0.9457422222222222,-0.07286355555555583,2.578965,1.0,0.1823383541807685,inconclusive,0
pmodel,max,verdict,v2rl308,policy,3,180,1.0,65.87542888888889,v2rl310,64.92746666666666,1.460032665511202,0.9479622222222304,1,180,180,0.9479622222222222,-0.12150822222222309,2.59699261111111,1.0,0.05342623055066985,inconclusive,0
pmodel,max,verdict,v2rl304,policy,4,180,1.0,66.02777777777777,v2rl310,64.92746666666666,1.6946774109638927,1.100311111111111,1,180,180,1.100311111111111,0.46938811111111056,1.8968663333333338,1.0,0.0006533107814151376,inconclusive,0
pmodel,max,verdict,v2rl303,policy,5,180,1.0,66.12452888888889,v2rl310,64.92746666666666,1.8436915587171567,1.197062222222229,1,180,180,1.197062222222223,-0.18354366666666663,3.569362777777778,1.0,0.7221076526150257,inconclusive,0
pmodel,max,verdict,v2rl305,policy,6,180,1.0,66.15268666666667,v2rl310,64.92746666666666,1.887059611135309,1.2252200000000073,1,180,180,1.2252200000000004,-0.15860183333333333,3.6155273333333344,1.0,0.5336947142111965,inconclusive,0
pmodel,max,verdict,v2rl307,policy,7,180,1.0,66.23345111111111,v2rl310,64.92746666666666,2.0114514110788986,1.305984444444448,1,180,180,1.3059844444444448,-0.14385072222222167,3.836625722222223,1.0,0.47690655496758394,inconclusive,0
pmodel,max,verdict,edd,duedate,8,180,1.0,66.35225777777778,v2rl310,64.92746666666666,2.1944350892757036,1.4247911111111193,1,180,180,1.4247911111111118,0.2354535555555554,3.011288333333335,1.0,0.029818382500813,inconclusive,0
pmodel,max,verdict,pfifo,duedate,8,180,1.0,66.35225777777778,v2rl310,64.92746666666666,2.1944350892757036,1.4247911111111193,1,180,180,1.4247911111111118,0.24416755555555525,3.0513001111111127,1.0,0.029818382500813,inconclusive,0
pmodel,max,verdict,v2rl302,policy,10,180,1.0,66.44010666666667,v2rl310,64.92746666666666,2.3297382104338045,1.5126400000000046,1,180,180,1.5126400000000009,-0.009962333333332097,4.106707222222222,1.0,0.21299677467111144,inconclusive,0
