id,base_instance_id,campus,size,p_model,n_wos,window_bh,n_technicians,u_realized,wo_set_equals_sum,r4_labor_cap_hours,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,pfifo,301,1,0.0,44.1679,3.3570546666666674,0.0,0.00048318097833544016
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,wspt,301,1,0.0,44.1679,3.119200666666667,0.0,0.0005137340631335974
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,atc,301,1,0.0,44.1679,3.119200666666667,0.0,0.0008845750708132982
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,wmdd,301,1,0.0,44.1679,3.3570546666666674,0.0,0.0006262919632717967
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,lpt,301,1,0.0,44.1679,3.532244,0.0,0.0004405600484460592
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,random,301,1,0.0,44.1679,3.288853333333334,0.0,0.0003572040004655719
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl301,301,1,0.0,44.1679,3.5322440000000004,0.0,0.031228100997395813
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl302,302,1,0.0,44.1679,3.5322440000000004,0.0,0.02893118595238775
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl303,303,1,0.0,44.1679,3.5285200000000003,0.0,0.028418055968359113
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl304,304,1,0.0,44.1679,3.1938546666666667,0.0,0.028365647071041167
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl305,305,1,0.0,44.1679,3.5322440000000004,0.0,0.028539465041831136
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl306,306,1,0.0,44.1679,3.5322440000000004,0.0,0.02799097797833383
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl307,307,1,0.0,44.1679,3.1630620000000005,0.0,0.027957774931564927
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl308,308,1,0.0,44.1679,3.525577333333334,0.0,0.02778575394768268
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl309,309,1,0.0,44.1679,3.5322440000000004,0.0,0.02831559197511524
c01_final_150_0001_pmax,c01_final_150_0001,1,150,max,150,3.1106,80,1.293484,1,43.881,v2rl310,310,1,0.0,44.1679,3.2680093333333327,0.0,0.02798826596699655
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,edd,301,1,0.0,40.2869,3.51267,0.0,0.0008544559823349118
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,pfifo,301,1,0.0,40.2869,3.51267,0.0,0.0005078089889138937
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,wspt,301,1,0.0,40.2869,3.1990686666666672,0.0,0.0005191229283809662
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,atc,301,1,0.0,40.2869,3.1990686666666672,0.0,0.0009036139817908406
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,wmdd,301,1,0.0,40.2869,3.51267,0.0,0.000640404992736876
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,lpt,301,1,0.0,40.2869,3.7294566666666666,0.0,0.0004341710591688752
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,random,301,1,0.0,40.2869,3.407507333333333,0.0,0.00034611206501722336
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl301,301,1,0.0,40.2869,3.7294566666666675,0.0,0.030295380973257124
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl302,302,1,0.0,40.2869,3.7294566666666666,0.0,0.02907401300035417
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl303,303,1,0.0,40.2869,3.7257326666666675,0.0,0.0287809029687196
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl304,304,1,0.0,40.2869,3.315423333333334,0.0,0.028828158974647522
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl305,305,1,0.0,40.2869,3.7294566666666675,0.0,0.028144604992121458
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl306,306,1,0.0,40.2869,3.7294566666666666,0.0,0.028227120987139642
