scope,u_bin,ov_band,n_configs,n_clusters,mean_u,mean_overload_share,mean_wwt_edd,mean_wwt_best,best_method,margin_edd,mean_d_wmdd,d_wmdd_ci_lo,d_wmdd_ci_hi,mean_d_atc,d_atc_ci_lo,d_atc_ci_hi,verdict_wmdd_vs_edd,verdict_atc_vs_edd,mean_edd_minus_best,edd_best_ci_lo,edd_best_ci_hi,verdict_edd_vs_best,recommended_family
replay_only,>=1.2,0.5-0.75,22,13,1.4280394002989942,0.6984809391171499,492.9127090909091,468.4505181818183,wmdd,4.929127090909091,24.462190909090893,-8.511509100000035,101.98089138888882,19.528354545454558,-15.078424999999982,90.48242379084967,inconclusive,inconclusive,24.462190909090893,-8.612011739130455,100.96114469362736,inconclusive,due-date
replay_only,>=1.2,>=0.75,221,81,2.7672136097503848,0.9390046024632157,794.0119330316742,552.9010981900453,atc,7.940119330316742,238.69904162895926,81.78934738076521,438.74894408662584,241.11083484162896,88.04900333333335,436.4285891445495,better,better,241.11083484162896,82.84704668694316,440.4094557630598,worse,weighted
no_campus2,<0.5,<0.25,268,91,0.3511707290082327,0.04068167334081684,244.35436641791046,244.31549850746273,v2rl310,2.4435436641791046,-0.4452462686567182,-1.088471025185191,-0.05734767025089606,-0.483288059701493,-1.152364510496185,-0.05185185185185185,equivalent,equivalent,0.03886791044776126,0.0007426415094339475,0.10199561797752789,equivalent,either
no_campus2,<0.5,0.25-0.5,31,19,0.39559336541282675,0.3229180835479531,85.55664516129033,85.19966451612903,v2rl301,1.0,-0.29246451612903185,-1.0461230769230754,0.0,-0.421496774193548,-1.507661538461537,0.0,inconclusive,inconclusive,0.3569806451612899,0.0,1.2768923076923062,inconclusive,due-date
no_campus2,<0.5,0.5-0.75,4,3,0.45080949378273777,0.5750592275705355,624.4592,624.4592,atc,6.244592,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
no_campus2,0.5-0.8,<0.25,170,123,0.6296829165869529,0.08854542654260676,970.2648635294117,969.6306270588234,v2rl307,9.702648635294118,-0.9982117647058942,-1.9080755598802588,-0.30635734172454565,-0.9475117647059172,-2.1783350825764125,0.010449540106901889,equivalent,equivalent,0.6342364705881972,0.2924928906402093,1.0495829317268577,equivalent,either
no_campus2,0.5-0.8,0.25-0.5,109,65,0.6584102803783435,0.38857402984057454,847.4377798165139,847.0190128440371,v2rl303,8.474377798165138,-1.4187743119265426,-3.1305554574257055,-0.23193647435896847,-1.8827633027522905,-3.6300232726888875,-0.5784183147419143,equivalent,equivalent,0.41876697247710776,-0.5943579166665883,1.6459811957598942,equivalent,either
no_campus2,0.5-0.8,0.5-0.75,74,45,0.6926449918050365,0.6139590503658606,757.5425270270271,748.2576243243243,v2rl303,7.575425270270271,6.1402810810810795,-5.289981818181828,25.628243835616445,4.128732432432439,-8.373414473684212,22.903837291666676,inconclusive,inconclusive,9.284902702702698,0.031142857142858457,27.183615972222213,inconclusive,due-date
no_campus2,0.5-0.8,>=0.75,6,6,0.745887740392439,0.8495856709310554,37.333333333333336,37.333333333333336,atc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
no_campus2,0.8-1.0,<0.25,3,2,0.8669039118564519,0.24113939472637558,2028.0039333333334,2024.6442666666665,v2rl301,20.280039333333335,-3.0366666666667093,-4.555000000000064,0.0,0.7287333333332905,0.0,1.0930999999999358,equivalent,equivalent,3.35966666666665,0.0,5.039499999999975,equivalent,insufficient
no_campus2,0.8-1.0,0.25-0.5,68,65,0.8937018884873482,0.3885677750365296,2145.719582352941,2138.7539941176474,v2rl305,21.45719582352941,-8.2339235294117,-12.811646671123116,-4.41171008403351,-7.892173529411899,-13.466268823529324,-2.207564195327825,equivalent,equivalent,6.965588235293933,2.6065272388054135,11.904884191176176,equivalent,either
no_campus2,0.8-1.0,0.5-0.75,108,97,0.9170173527093312,0.6518985655915401,1958.5719166666665,1951.7744499999997,v2rl310,19.585719166666667,-9.003659259259164,-14.343062583857304,-4.557107244008729,-10.798898148147972,-16.610664128440092,-5.629235491071402,equivalent,equivalent,6.797466666666741,2.740367839501327,11.719730000000158,equivalent,either
no_campus2,0.8-1.0,>=0.75,38,31,0.9119168144699975,0.8377843318102972,286.11205789473684,285.166047368421,atc,2.8611205789473684,-0.2595052631579021,-0.6983027027027133,0.0,0.9460105263157923,-0.8228153560371563,4.1103058823529715,equivalent,inconclusive,0.9460105263157923,-0.8267176470588358,4.088248137254947,inconclusive,due-date
no_campus2,1.0-1.2,0.25-0.5,8,7,1.0649934540361423,0.44683946040301303,409.85220000000004,402.3306,v2rl301,4.098522000000001,-3.6572999999999922,-8.777519999999981,0.0,-4.130049999999997,-8.306759999999997,0.0,inconclusive,inconclusive,7.5216000000000065,0.0,18.051840000000016,inconclusive,insufficient
no_campus2,1.0-1.2,0.5-0.75,66,63,1.0744621725875998,0.6895416242839134,2749.757857575758,2749.455336363637,v2rl304,27.49757857575758,-16.253569696969247,-27.291621238805238,-6.936212238805997,-13.511012121212044,-25.908807740205177,-0.4676566406248854,equivalent,equivalent,0.3025212121211586,-6.3841520384618375,6.560462185662755,equivalent,either
no_campus2,1.0-1.2,>=0.75,77,72,1.0978129900850206,0.852232195010945,2109.5304545454546,2094.7298831168837,v2rl310,21.095304545454546,-23.940041558441802,-40.93501509702041,-10.245448653846282,-26.780974025974388,-45.8670668181825,-11.34902243466447,inconclusive,inconclusive,14.800571428571285,5.058766238234246,26.498312421621122,inconclusive,due-date
no_campus2,>=1.2,0.5-0.75,25,16,1.4239759163734664,0.7184470305334629,716.932504,714.1259439999999,v2rl302,7.16932504,-2.1792319999999883,-7.372776293706272,0.0,-3.3687199999999855,-12.802052156084633,1.3670740909091552,inconclusive,inconclusive,2.806560000000029,0.2478347428571876,7.389086470588442,inconclusive,due-date
no_campus2,>=1.2,>=0.75,235,115,2.5312814249354862,0.933762046167931,1230.1063578723404,1222.8437744680843,v2rl304,12.301063578723404,-8.102198723404245,-26.745225857675564,13.445293693609067,-11.900448510638473,-32.0504063389834,9.044363366666497,inconclusive,inconclusive,7.262583404255226,0.16399775033566033,16.417495045129055,inconclusive,due-date
