analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
cluster,stress,campus=2|m=1.0,wmdd,edd,17,17,17,1311.322141176471,-93.09329411764713,-239.07439352941188,16.540296176470566,inconclusive,-239.07439352941188,16.540296176470566,inconclusive,255.61468970588245,255.61468970588245,1.0,0
cluster,stress,campus=2|m=1.0,lpt,edd,17,17,17,1311.322141176471,1303.7896941176468,628.0265744117646,2114.1120958823517,worse,628.0265744117646,2114.1120958823517,worse,1486.085521470587,1486.085521470587,1.0,0
cluster,stress,campus=2|m=1.0,random,edd,17,17,17,1311.322141176471,324.70842352941173,120.31808911764692,566.1716647058824,worse,120.31808911764692,566.1716647058824,worse,445.8535755882355,445.8535755882355,1.0,0
cluster,stress,campus=2|m=1.0,mlp_pool,edd,17,17,17,1311.322141176471,338.5406964705882,134.8402090294118,591.3045620294116,worse,134.8402090294118,591.3045620294116,worse,456.46435299999985,456.46435299999985,1.0,0
cluster,stress,campus=2|m=1.0,attn_pool,edd,17,17,17,1311.322141176471,123.78088823529409,32.42847776470583,234.13841505882343,worse,32.42847776470583,234.13841505882343,worse,201.7099372941176,201.7099372941176,1.0,0
cluster,stress,campus=2|m=1.0,v1_pool,edd,17,17,17,1311.322141176471,282.6695411764706,109.33180156862745,500.83602323529414,worse,109.33180156862745,500.83602323529414,worse,391.5042216666667,391.5042216666667,1.0,0
cluster,stress,campus=2|m=1.0,rollcp2,edd,8,8,8,1080.4252999999999,-103.64212500000005,-280.4918237499999,33.90300250000001,inconclusive,-280.4918237499999,33.90300250000001,inconclusive,314.39482624999994,314.39482624999994,1.0,0
cluster,emp_pooled,ALL,pfifo,edd,587,227,186,453.97671345826234,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,emp_pooled,ALL,wspt,edd,587,227,186,453.97671345826234,4.850056899488925,0.20132089124869562,9.02608855083369,inconclusive,0.14754810067448304,9.032966348222711,inconclusive,8.824767659584994,8.885418247548229,1.006872768814186,0
cluster,emp_pooled,ALL,atc,edd,587,227,186,453.97671345826234,0.4145257240204431,-3.8622232888674346,3.632035350047817,equivalent,-3.83815414023133,3.700459075839594,equivalent,7.494258638915252,7.5386132160709245,1.0059184743004936,0
cluster,emp_pooled,ALL,wmdd,edd,587,227,186,453.97671345826234,-1.2413945485519604,-5.954317718631537,2.103781534286304,inconclusive,-6.012355124271497,2.048088828507712,inconclusive,8.058099252917842,8.06044395277921,1.0002909743089252,0
cluster,emp_pooled,ALL,lpt,edd,587,227,186,453.97671345826234,66.71833356047698,30.452734726134654,112.7188092818601,worse,30.813952747651552,113.29675312397153,worse,82.26607455572545,82.48280037631997,1.002634449519622,0
cluster,emp_pooled,ALL,random,edd,587,227,186,453.97671345826234,19.558621124361157,8.675797123258066,34.38565632960453,worse,8.617889075837029,34.276206006341305,worse,25.709859206346465,25.658316930504277,0.9979952330571509,0
cluster,emp_pooled,ALL,mlp_pool,edd,587,227,186,453.97671345826234,9.607804531516187,2.711836150575997,19.163493128462925,inconclusive,2.730964085498411,19.097253206389453,inconclusive,16.451656977886927,16.366289120891043,0.9948109872999037,0
