analysis,sweep,scope_type,scope,method,verdict_base,verdict_swept,check,arm,stratum
final,double,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at307,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=0.5-0.8,wspt,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=0.8-1.0,random,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=0.8-1.0,wspt,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=1.0-1.2,rl302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2rl308,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2at307,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=<0.5,wspt,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=>=1.2,v2at301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=0.8|u_bin=>=1.2,wspt,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,edd,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,pfifo,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,rl302,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,rl303,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,v2at309,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,v2at301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=0.8-1.0,v2rl306,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=>=1.2,v2at301,inconclusive,equivalent,,,
final,double,emp_m_ubin,m=1.0|u_bin=>=1.2,wspt,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,v2at308,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,atc,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,v2at304,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,v2at307,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,v2at303,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.5-0.8,wspt,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,edd,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,pfifo,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,v2rl309,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,v2at309,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,wmdd,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=0.8-1.0,v2at306,inconclusive,equivalent,,,
final,double,emp_ubin,u_bin=1.0-1.2,rl301,inconclusive,equivalent,,,
