id,cluster,source,arm,campus,track,regime,size,crew_multiplier,crew_q,n_technicians,window_bh,n_trades,n_trades_active,n_trades_no_crew,n_fallback_trades,total_p_bh,u_realized,u_recomputed,u_bin,overload_share,ov_band,overload_share_even,overload_excess,max_u_trade,cv_u_weighted,share_trades_over,wwt_edd,wwt_wmdd,wwt_atc,wwt_min_common,argmin_method,d_wmdd,d_atc,rel_d_wmdd,rel_d_atc
c02_final_150_0010_q75,c02_final_150_0010,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,27.0,7,7,0,0,830.8347999999996,1.619561,1.6195610136452234,>=1.2,0.9157594265430382,>=0.75,0.9157594265430384,-2.220446049250313e-16,2.4879012345679015,0.3216686689165423,0.7142857142857143,593.7652,613.3256,673.1260000000001,591.9924,v2rl304,-19.56039999999996,-79.36080000000004,-0.03294298823844839,-0.13365687312089028
c02_final_150_0011_q75,c02_final_150_0011,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,27.5,7,7,0,0,1616.3988000000006,3.093586,3.093586220095695,>=1.2,0.9277777241606465,>=0.75,0.9277777241606465,0.0,8.124964848484849,0.4835829880596735,0.5714285714285714,10063.806600000004,4479.457,4799.5242,4479.457,wmdd,5584.349600000003,5264.282400000004,0.5548943677037674,0.5230905768797268
c02_final_150_0012_q75,c02_final_150_0012,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,26.35,7,7,0,0,1206.5540000000005,2.409975,2.409975032457806,>=1.2,0.8939707630159944,>=0.75,0.9504042090117806,-0.05643344599578615,6.320865275142313,0.4533929860771784,0.5714285714285714,3353.226200000001,2334.6328000000003,2380.7724000000003,2334.6328000000003,wmdd,1018.5934000000007,972.4538000000007,0.303765191862094,0.29000542820523123
c02_final_150_0013_q75,c02_final_150_0013,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,29.7,7,7,0,0,1340.474,2.375463,2.3754634059897217,>=1.2,0.9392975917473967,>=0.75,0.9392975917473967,0.0,7.1192413019079686,0.5164551395656969,0.5714285714285714,11294.113600000002,3875.1172,4017.9147,3875.1172,wmdd,7418.996400000002,7276.198900000003,0.6568905416357774,0.6442470084593448
c02_final_150_0014_q75,c02_final_150_0014,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,25.2,7,7,0,0,1629.7291999999998,3.403779,3.4037786131996652,>=1.2,0.932317099061611,>=0.75,0.932317099061611,0.0,10.601052910052912,0.5981137267992777,0.7142857142857143,13683.634399999994,6266.606000000002,6666.969399999999,6266.606000000002,wmdd,7417.028399999992,7016.6649999999945,0.5420364344139446,0.5127778771990574
c02_final_150_0015_q75,c02_final_150_0015,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,14.1,7,7,0,0,701.8947999999998,2.619988,2.6199880552444936,>=1.2,0.9835018011246129,>=0.75,0.9835018011246129,0.0,4.68321513002364,0.3965149576576693,0.8571428571428571,767.1364000000001,780.4296000000002,778.0432000000002,748.9696,v2rl307,-13.29320000000007,-10.90680000000009,-0.017328339523453806,-0.014217549838594658
c02_final_150_0016_q75,c02_final_150_0016,cap_q75,q75,2,replay,cap-empirical,150,1.0,0.75,19,25.0833,7,7,0,0,1343.7591999999997,2.819572,2.819571923194022,>=1.2,0.964152803567782,>=0.75,0.964152803567782,0.0,10.017480421900892,0.6133613735509567,0.8571428571428571,14860.481800000003,6530.7298,6348.393999999999,6348.393999999999,atc,8329.752000000004,8512.087800000005,0.5605304129506758,0.5728002573913857
c05_final_150_0000_q75,c05_final_150_0000,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,8.0,11,6,0,0,602.0,1.88125,1.88125,>=1.2,0.967607973421927,>=0.75,0.9858803986710963,-0.01827242524916939,4.88125,0.4687542224381707,0.5,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0001_q75,c05_final_150_0001,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,10.6764,11,9,0,0,369.0,0.864055,0.8640552995391706,0.8-1.0,0.7696476964769647,>=0.75,0.7696476964769647,0.0,4.07440710351804,0.7302192138428214,0.3333333333333333,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0002_q75,c05_final_150_0002,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,15.3025,11,9,0,0,480.89999999999986,0.785656,0.7856559385721285,0.5-0.8,0.314410480349345,0.25-0.5,0.27032647119983366,0.04408400914951133,3.0713935631432774,0.6333735643841711,0.4444444444444444,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0003_q75,c05_final_150_0003,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,11.0142,11,8,0,0,601.5,1.365283,1.3652829983112709,>=1.2,0.8969243557772236,>=0.75,0.8969243557772236,0.0,6.219244248333969,0.7638548169108811,0.625,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0004_q75,c05_final_150_0004,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,9,0,0,572.0,0.89375,0.89375,0.8-1.0,0.7814685314685315,>=0.75,0.32167832167832167,0.4597902097902098,5.96875,0.9818637007966033,0.4444444444444444,30.9554,30.9554,30.9554,30.9554,edd,0.0,0.0,0.0,0.0
c05_final_150_0005_q75,c05_final_150_0005,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,9,0,0,685.5648,1.071195,1.071195,1.0-1.2,0.973744276252223,>=0.75,0.5726151634389629,0.40112911281326014,4.3125,0.6848321993574037,0.6666666666666666,21.729600000000005,21.729600000000005,21.729600000000005,21.729600000000005,edd,0.0,0.0,0.0,0.0
c05_final_150_0006_q75,c05_final_150_0006,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,18.5356,11,9,0,0,358.6,0.483664,0.48366386844774384,<0.5,0.0,<0.25,0.061349693251533735,-0.061349693251533735,0.8362286626815426,0.2790436937019239,0.0,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0007_q75,c05_final_150_0007,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,15.4717,11,7,0,0,460.37999999999994,0.743907,0.743906616596754,0.5-0.8,0.3613971067379122,0.25-0.5,0.42981884530170733,-0.06842173856379513,1.075382795685025,0.17871591933457612,0.14285714285714285,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0008_q75,c05_final_150_0008,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,30.2264,11,8,0,0,576.8648000000001,0.47712,0.4771200010586772,<0.5,0.0,<0.25,0.0,0.0,0.6554700526691898,0.19300491048585003,0.0,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
