scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m,m=0.6,rl303,wmdd,policy-vs-rule,180,180,455.0836822222222,451.66047777777777,-3.4232044444444316,-6.256963111111081,-0.6184141666666474,4.550836822222222,0.0005849790896741733,0.022229205407618583,inconclusive
emp_m,m=0.6,edd,wmdd,rule-vs-rule,180,180,455.0836822222222,451.7136088888889,-3.3700733333333304,-5.311227750000014,-1.707547555555549,4.550836822222222,1.821529714896801e-05,0.00020036826863864811,inconclusive
emp_m,m=0.6,pfifo,wmdd,rule-vs-rule,180,180,455.0836822222222,451.7136088888889,-3.3700733333333304,-5.394060416666654,-1.6958420833333283,4.550836822222222,1.821529714896801e-05,0.00020036826863864811,inconclusive
emp_m,m=0.6,v2rl309,wmdd,policy-vs-rule,180,180,455.0836822222222,453.4443677777777,-1.6393144444444345,-3.2807200833333314,-0.2928013611111038,4.550836822222222,0.017544485258678084,0.4386121314669521,equivalent
emp_m,m=0.6,v2rl306,wmdd,policy-vs-rule,180,180,455.0836822222222,453.91020555555554,-1.1734766666666667,-4.530813777777781,2.2519512777777866,4.550836822222222,0.04276119836352022,0.769701570543364,equivalent
emp_m,m=0.6,v2at309,wmdd,policy-vs-rule,180,180,455.0836822222222,454.16026777777773,-0.9234144444444355,-1.8146519166666577,-0.14524436111110417,4.550836822222222,0.027247400579327702,0.5807775756920405,equivalent
emp_m,m=0.6,v2at308,wmdd,policy-vs-rule,180,180,455.0836822222222,454.7867177777777,-0.29696444444444425,-2.832660333333327,1.8111146388888797,4.550836822222222,0.9616750144091413,1.0,equivalent
emp_m,m=0.6,v2at306,wmdd,policy-vs-rule,180,180,455.0836822222222,455.0103877777778,-0.07329444444444301,-1.206711222222227,0.9945771388888924,4.550836822222222,0.9248941074579895,1.0,equivalent
emp_m,m=0.6,v2at307,wmdd,policy-vs-rule,180,180,455.0836822222222,455.959341111111,0.8756588888888893,-1.6669503888888817,3.1538281111111295,4.550836822222222,0.07249395284280363,1.0,equivalent
emp_m,m=0.6,atc,wmdd,rule-vs-rule,180,180,455.0836822222222,456.44054111111114,1.3568588888889024,-0.4884581944444258,3.178831194444471,4.550836822222222,0.006308526046010378,0.018925578138031134,equivalent
emp_m,m=0.6,v2at304,wmdd,policy-vs-rule,180,180,455.0836822222222,456.7358433333334,1.652161111111126,0.2668682500000125,3.2109215277778143,4.550836822222222,0.01970151322424328,0.45928101249864084,equivalent
emp_m,m=0.6,v2at303,wmdd,policy-vs-rule,180,180,455.0836822222222,457.78533888888893,2.701656666666669,-0.1699027777777825,5.583858472222226,4.550836822222222,0.00019381666224116414,0.009497016449817043,inconclusive
emp_m,m=0.6,v2at305,wmdd,policy-vs-rule,180,180,455.0836822222222,458.3245488888889,3.240866666666669,-2.3344939444444424,10.951613444444435,4.550836822222222,0.4284300285458069,1.0,inconclusive
emp_m,m=0.6,v2at301,wmdd,policy-vs-rule,180,180,455.0836822222222,460.80076,5.717077777777775,0.42905363888889253,12.546487333333312,4.550836822222222,0.013487642636120376,0.37765399381137055,inconclusive
emp_m,m=0.6,wspt,wmdd,rule-vs-rule,180,180,455.0836822222222,463.7768022222222,8.693120000000006,4.394790138888888,13.853388361111113,4.550836822222222,3.3833353035890285e-09,5.4133364857424456e-08,inconclusive
emp_m,m=0.6,random,wmdd,rule-vs-rule,180,180,455.0836822222222,479.31515777777776,24.23147555555556,5.564564249999995,56.83971161111112,4.550836822222222,2.2316724856385043e-07,2.9011742313300558e-06,worse
emp_m,m=0.6,lpt,wmdd,rule-vs-rule,180,180,455.0836822222222,536.7492233333334,81.66554111111111,16.771584499999996,189.42595374999993,4.550836822222222,0.00037297862528716183,0.0018648931264358092,worse
emp_m,m=0.8,rl301,atc,policy-vs-rule,180,180,448.1663633333332,446.21380777777773,-1.9525555555555447,-3.3965303333333106,-0.7779823888888822,4.481663633333333,0.0006549583433856954,0.04519212569361298,equivalent
emp_m,m=0.8,v2at302,atc,policy-vs-rule,180,180,448.1663633333332,446.2681099999999,-1.8982533333333256,-3.425994833333311,-0.6403090000000045,4.481663633333333,0.0027077077180259045,0.16246246308155426,equivalent
emp_m,m=0.8,v2rl301,atc,policy-vs-rule,180,180,448.1663633333332,446.28743666666657,-1.8789266666666578,-3.3874746666666353,-0.6170337222222186,4.481663633333333,0.004455352355471741,0.24504437955094574,equivalent
