scope_type,scope,method,reference,is_scope_best_ref,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2pool,edd,0,policy-vs-rule,27,27,683.4089481481482,681.373648888889,-2.0352992592592276,-4.964499870370326,0.5341318518518686,6.834089481481482,0.16142946236708333,0.4974044037818225,equivalent
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2pool,v2rl305,1,policy-vs-policy,27,27,677.0946740740741,681.373648888889,4.278974814814852,-0.11586222222220605,10.175035814814887,6.770946740740741,0.0687035743228782,0.0687035743228782,inconclusive
emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2pool,wmdd,0,policy-vs-rule,27,27,689.6335185185185,681.373648888889,-8.259869629629623,-16.379063370370357,-1.5813807407407356,6.896335185185185,0.0499499764547464,0.2996998587284784,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2attnpool,atc,0,policy-vs-rule,18,18,1055.6066222222223,1059.3702811111111,3.763658888888782,-1.441646166666712,11.514229722221973,10.556066222222224,0.6744240722352938,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2attnpool,edd,0,policy-vs-rule,18,18,1044.3244222222224,1059.3702811111111,15.045858888888798,1.2632682222221834,38.24392066666648,10.443244222222225,0.0687035743228782,0.41222144593726917,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2attnpool,v2rl304,1,policy-vs-policy,18,18,1039.1574666666666,1059.3702811111111,20.212814444444362,2.222446666666647,51.47320152777762,10.391574666666665,0.011718685599768628,0.023437371199537257,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2attnpool,wmdd,0,policy-vs-rule,18,18,1052.3241222222223,1059.3702811111111,7.046158888888874,-1.3309266666667168,20.124828888888892,10.523241222222223,0.779434528427275,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2pool,atc,0,policy-vs-rule,18,18,1055.6066222222223,1051.061307777778,-4.5453144444444895,-15.941083277777903,5.537895555555559,10.556066222222224,0.16142946236708333,0.8071473118354167,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2pool,edd,0,policy-vs-rule,18,18,1044.3244222222224,1051.061307777778,6.736885555555526,-0.7937527222222371,17.579110055555482,10.443244222222225,0.4838398513935682,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2pool,v2rl304,1,policy-vs-policy,18,18,1039.1574666666666,1051.061307777778,11.903841111111092,0.344566388888904,30.48631333333328,10.391574666666665,0.04252247799805163,0.04252247799805163,inconclusive
emp_m_ubin,m=0.6|u_bin=1.0-1.2,v2pool,wmdd,0,policy-vs-rule,18,18,1052.3241222222223,1051.061307777778,-1.2628144444443978,-9.31657977777771,8.770179055555552,10.523241222222223,0.20757844233562428,0.8303137693424971,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2attnpool,atc,0,policy-vs-rule,34,34,148.86011764705881,148.91071294117648,0.05059529411764843,-0.7105741176470568,0.8176470588235297,1.4886011764705882,1.0,1.0,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2attnpool,edd,0,policy-vs-rule,34,34,148.2699294117647,148.91071294117648,0.6407835294117658,0.058823529411764705,1.3113717647058838,1.4826992941176471,0.06788915486182899,0.4073349291709739,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2attnpool,rl302,1,policy-vs-policy,34,34,147.94444705882353,148.91071294117648,0.9662658823529418,0.058823529411764705,2.2282094117647073,1.4794444705882352,0.06788915486182899,0.13577830972365798,inconclusive
emp_m_ubin,m=0.6|u_bin=<0.5,v2attnpool,wmdd,0,policy-vs-rule,34,34,148.77188235294116,148.91071294117648,0.13883058823529548,-0.5058823529411761,0.8352941176470599,1.4877188235294116,0.4652088184521418,1.0,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2pool,atc,0,policy-vs-rule,34,34,148.86011764705881,148.1891505882353,-0.6709670588235288,-2.154077647058821,0.2117647058823526,1.4886011764705882,0.28504940740261275,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=<0.5,v2pool,edd,0,policy-vs-rule,34,34,148.2699294117647,148.1891505882353,-0.0807788235294115,-0.6188070588235282,0.3176470588235289,1.4826992941176471,1.0,1.0,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2pool,rl302,1,policy-vs-policy,34,34,147.94444705882353,148.1891505882353,0.2447035294117646,0.0,0.5729317647058824,1.4794444705882352,0.10880943004054568,0.13577830972365798,equivalent
emp_m_ubin,m=0.6|u_bin=<0.5,v2pool,wmdd,0,policy-vs-rule,34,34,148.77188235294116,148.1891505882353,-0.5827317647058817,-1.8540776470588214,0.2117647058823526,1.4877188235294116,0.28504940740261275,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2attnpool,atc,0,policy-vs-rule,53,53,357.41662264150955,353.6050709433962,-3.811551698113202,-8.496644113207536,-0.08793150943396744,3.5741662264150955,0.8646775535945274,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2attnpool,edd,0,policy-vs-rule,53,53,351.5063471698113,353.6050709433962,2.0987237735849225,-0.4810093773584721,5.194623113207586,3.515063471698113,0.008971156804419326,0.05382694082651596,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2attnpool,rl301,1,policy-vs-policy,53,53,348.7443471698114,353.6050709433962,4.860723773584896,0.7501490943396222,10.347230433962244,3.487443471698114,0.000803313257091444,0.001606626514182888,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2attnpool,wmdd,0,policy-vs-rule,53,53,354.0573924528302,353.6050709433962,-0.45232150943394317,-2.195463698113143,0.8412242641509797,3.540573924528302,0.42643498438261274,1.0,equivalent
