scope_type,scope,method,family,n_configs,n_clusters,mean,mean_method,mean_edd,mean_diff_vs_edd,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,in_set_vs_edd,in_equivalence_set,membership,best_method,pct_from_best
emp_m_ubin,m=1.0|u_bin=<0.5,v2at301,policy-vs-rule,85,85,308.31569647058825,308.31569647058825,307.36126352941176,0.9544329411764706,0.0,2.635294117647059,3.0736126352941175,0.10880943004054568,1.0,equivalent,1,1,in both,v2at302,0.3218488595752669
emp_m_ubin,m=1.0|u_bin=<0.5,wspt,rule-vs-rule,85,85,308.36227058823533,308.3622705882353,307.36126352941176,1.0010070588235298,0.13088941176470578,2.3765364705882366,3.0736126352941175,0.027707849358079864,0.16624709614847918,equivalent,1,1,in both,v2at302,0.337003461319017
emp_m_ubin,m=1.0|u_bin=>=1.2,pfifo,rule-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,atc,rule-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,wmdd,rule-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl304,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl307,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at303,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at304,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at307,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at308,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at309,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at310,policy-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,edd,rule-vs-rule,24,24,231.75553333333332,231.75553333333335,231.75553333333335,0.0,0.0,0.0,2.3175553333333334,1.0,1.0,equivalent,1,1,in both,atc,0.0
emp_m_ubin,m=1.0|u_bin=>=1.2,rl303,policy-vs-rule,24,24,231.75826666666669,231.75826666666669,231.75553333333335,0.002733333333333475,0.0,0.008200000000000426,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0011794036992452
emp_m_ubin,m=1.0|u_bin=>=1.2,lpt,rule-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,rl302,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
