scope_type,scope,family,n_seeds,n_configs,n_clusters,mean_ref,mean_diff,released_mean_diff,ci_lo_inst,ci_hi_inst,verdict_inst,ci_lo_seed,ci_hi_seed,verdict_seed,ci_lo_two,ci_hi_two,verdict_two,width_inst,width_seed,width_two,width_ratio_two_inst,verdict_changed,seed_sd,seed_min_mean,seed_max_mean
gen_utarget,u_target=1.1,v1_pool,3,60,60,3699.834936666666,710.3992999999995,710.3992999999995,564.3250045555556,860.9110502777771,worse,-11.33858999999987,1363.5652133333322,inconclusive,-7.592259749999635,1368.6783737777766,inconclusive,296.58604572222157,1374.903803333332,1376.2706335277762,4.640375544899278,1,690.0121043091171,3688.4963466666663,5063.400149999999
gen_utarget,u_target=1.3,mlp_pool,10,60,60,4591.817011666667,583.0352018333339,583.0352018333338,430.8681669666658,754.1523539500001,worse,95.95484965000006,1240.0593864833336,worse,85.06925125000062,1256.5571547375002,worse,323.28418698333434,1144.1045368333334,1171.4879034874996,3.623709264653551,0,967.6349130872759,4569.811140000001,7135.676103333334
gen_utarget,u_target=1.3,attn_pool,10,60,60,4591.817011666667,1618.6771580000002,1618.6771580000002,1351.390788683334,1912.6408052666652,worse,382.04431650416666,3351.922055704167,worse,360.4095101833343,3475.299205966666,worse,561.2500165833312,2969.8777392000006,3114.8896957833313,5.549914661465048,0,2641.9904045124804,4604.906103333333,13023.348065000004
gen_utarget,u_target=1.3,v1_pool,3,60,60,4591.817011666667,2452.6233088888894,2452.6233088888885,2026.827153555555,2876.3785974722223,worse,19.68226166666815,5002.669259999999,inconclusive,29.80714383333427,4870.719847958333,inconclusive,849.5514439166673,4982.986998333331,4840.9127041249985,5.698198430229311,1,2493.556701836931,4611.499273333335,9594.486271666665
transfer,campus=1|m=1.0,mlp_pool,10,30,30,80.41734666666666,4.736951571734001e-15,1.8947806286936005e-15,-1.5158245029548804e-14,3.031649005909761e-14,equivalent,0.0,1.5158245029548804e-14,equivalent,-1.5158245029548804e-14,3.031649005909761e-14,equivalent,4.5474735088646414e-14,1.5158245029548804e-14,4.5474735088646414e-14,1.0,0,1.4979556132593925e-14,80.41734666666666,80.41734666666666
transfer,campus=1|m=1.0,attn_pool,10,30,30,80.41734666666666,0.00030400000000459687,0.0003040000000017,-1.5158245029548804e-14,0.0009120000000014746,equivalent,0.0,0.0009120000000014746,equivalent,-1.5158245029548804e-14,0.0018240000000029491,equivalent,0.0009120000000166328,0.0009120000000014746,0.0018240000000181074,1.999999999983379,0,0.0009613324086907444,80.41734666666666,80.42038666666666
transfer,campus=1|m=1.0,v1_pool,3,30,30,80.41734666666666,0.0,0.0,-1.5158245029548804e-14,1.5158245029548804e-14,equivalent,0.0,0.0,equivalent,-1.5158245029548804e-14,1.5158245029548804e-14,equivalent,3.031649005909761e-14,0.0,3.031649005909761e-14,1.0,0,0.0,80.41734666666666,80.41734666666666
stress,campus=2|m=1.0,mlp_pool,10,17,17,1311.322141176471,338.5406964705882,338.5406964705882,134.74861932352934,582.3278216764706,worse,192.35124688235294,503.40939523529426,worse,107.40419279411775,665.5511519999998,worse,447.5792023529413,311.0581483529413,558.146959205882,1.2470350638985943,0,265.80567105106024,1324.8887411764706,2171.6928235294117
stress,campus=2|m=1.0,attn_pool,10,17,17,1311.322141176471,123.78088823529413,123.78088823529409,33.74048276470561,236.80407623529393,worse,17.62642941176476,245.7929982352942,worse,-0.7491661764707684,327.2599845294117,inconclusive,203.06359347058833,228.16656882352942,328.0091507058825,1.6153026010218383,1,195.34442438405205,1220.1060352941179,1823.9573764705885
stress,campus=2|m=1.0,v1_pool,3,17,17,1311.322141176471,282.6695411764706,282.6695411764706,110.2104875490195,498.5432362745097,worse,54.389364705883054,531.8261764705884,worse,46.88950058823514,666.5654907843137,worse,388.3327487254902,477.43681176470534,619.6759901960786,1.595734565858424,0,239.40206182647978,1365.7115058823533,1843.148317647059
