scope_type,scope,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
emp_ubin,u_bin=<0.5,v1_pool,edd,1,180,85,249.0512566666667,249.06164629629632,0.010389629629631731,-0.08019319050687217,0.12419900177562798,2.4905125666666668,0.7150006546880893,1.0,equivalent,249.06164629629632,edd,249.05125666666666,0.004171683278660364,180.0,85.0,0.010389629629631731,-0.08359418587975506,0.12417525911330154,2.4905125666666668,0.7150006546880893,equivalent,1.0,3.0,248.96509444444447,249.0227522222222,249.19709222222224,0.12079033062301073,0.09318486123344183,rl302,rl303
emp_ubin,u_bin=<0.5,rollcp2,edd,0,54,27,321.1507592592593,321.20141481481477,0.050655555555551846,-0.12394855125725082,0.23475937430477825,3.211507592592593,5.972640243812133e-05,5.972640243812133e-05,equivalent,,,,,,,,,,,,,,,,,,,,,
emp_ubin,u_bin=<0.5,edd,edd,1,180,85,249.05125666666666,249.05125666666666,0.0,0.0,0.0,2.4905125666666668,1.0,1.0,reference,249.05125666666666,edd,249.05125666666666,0.0,180.0,85.0,0.0,0.0,0.0,2.4905125666666668,1.0,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,pfifo,edd,1,152,103,687.4565263157896,687.4565263157896,0.0,0.0,0.0,6.874565263157896,1.0,1.0,equivalent,687.4565263157896,mlp_pool,686.955832631579,0.07288586258777321,152.0,103.0,0.5006936842105245,-0.14742352136054643,1.2473323829215888,6.869558326315789,0.11907362445115961,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,wspt,edd,1,152,103,687.4565263157896,692.7714986842105,5.314972368421046,1.9580491512345624,10.066506232876696,6.874565263157896,1.2908334475869406e-06,1.1617501028282465e-05,inconclusive,692.7714986842105,mlp_pool,686.955832631579,0.8465851480368041,152.0,103.0,5.81566605263157,1.9815611866603489,11.023814699220772,6.869558326315789,1.1840358330164846e-06,inconclusive,0.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,atc,edd,1,152,103,687.4565263157896,689.9868828947368,2.5303565789473668,0.536419292929296,5.338120399999998,6.874565263157896,0.0008052762369668134,0.00483165742180088,equivalent,689.9868828947368,mlp_pool,686.955832631579,0.44122927838701037,152.0,103.0,3.031050263157891,0.5524191950529742,6.235471247459148,6.869558326315789,0.005469344169613165,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,wmdd,edd,1,152,103,687.4565263157896,689.2394947368421,1.782968421052634,0.3486058753246747,3.7247250980392135,6.874565263157896,0.0033456181158508813,0.016728090579254406,equivalent,689.2394947368421,mlp_pool,686.955832631579,0.3324321589227678,152.0,103.0,2.2836621052631587,0.4234679585126485,4.750334873440295,6.869558326315789,0.03872129228608237,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,lpt,edd,1,152,103,687.4565263157896,707.2899986842104,19.83347236842105,2.3153385487528317,44.93139872942907,6.874565263157896,0.021411701897956752,0.08564680759182701,inconclusive,707.2899986842106,mlp_pool,686.955832631579,2.9600397997547736,152.0,103.0,20.334166052631574,2.526990027926958,44.7730421222222,6.869558326315789,0.004017819696394056,inconclusive,0.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,random,edd,1,152,103,687.4565263157896,693.8408565789474,6.3843302631578895,1.6874206270837904,13.262144565913527,6.874565263157896,3.410972956658962e-06,2.7287783653271697e-05,inconclusive,693.8408565789474,mlp_pool,686.955832631579,1.0022513268419813,152.0,103.0,6.885023947368414,1.789853210492137,14.035552139752706,6.869558326315789,2.5361976298103345e-06,inconclusive,0.0,,,,,,,,
emp_ubin,u_bin=0.5-0.8,mlp_pool,edd,1,152,103,687.4565263157896,686.9558326315789,-0.5006936842105245,-1.2309857749469342,0.14483490729798787,6.874565263157896,0.11907362445115961,0.23814724890231923,equivalent,686.955832631579,mlp_pool,686.955832631579,0.0,152.0,103.0,0.0,0.0,0.0,6.86955832631579,1.0,equivalent,1.0,10.0,686.4705381578948,686.8074039473684,688.0116223684211,0.4588270140783172,0.2244938602407709,v2rl303,v2rl309
emp_ubin,u_bin=0.5-0.8,attn_pool,edd,1,152,103,687.4565263157896,689.6147489473684,2.1582226315789454,0.39352399717067943,4.8370317548666195,6.874565263157896,0.0001990909855883277,0.0013936368991182939,equivalent,689.6147489473684,mlp_pool,686.955832631579,0.38705782664420374,152.0,103.0,2.6589163157894697,0.48248155467405834,5.695670139072845,6.869558326315789,1.0526619428863837e-05,equivalent,1.0,10.0,686.6463539473684,689.6831052631578,694.2396144736842,2.079812673013229,1.1058473525219936,v2at302,v2at301
emp_ubin,u_bin=0.5-0.8,v1_pool,edd,1,152,103,687.4565263157896,687.0341631578948,-0.42236315789474727,-1.0588319664502195,0.1788258173304749,6.874565263157896,0.040843580174106255,0.12253074052231877,equivalent,687.0341631578948,mlp_pool,686.955832631579,0.01140255640827736,152.0,103.0,0.07833052631577728,-0.6049615235849318,0.7742990309786151,6.869558326315789,0.3114526119855543,equivalent,1.0,3.0,686.539122368421,687.0469842105264,687.5163828947368,0.4887564000774942,0.14234593404442997,rl301,rl303
emp_ubin,u_bin=0.5-0.8,rollcp2,edd,0,47,29,797.2926893617023,796.8183234042552,-0.4743659574467983,-1.1355458619192187,0.03740541062800847,7.972926893617023,0.02414529434428439,0.02414529434428439,equivalent,,,,,,,,,,,,,,,,,,,,,
emp_ubin,u_bin=0.5-0.8,edd,edd,1,152,103,687.4565263157896,687.4565263157896,0.0,0.0,0.0,6.874565263157896,1.0,1.0,reference,687.4565263157896,mlp_pool,686.955832631579,0.07288586258777321,152.0,103.0,0.5006936842105245,-0.14518592702703106,1.2384417384737696,6.869558326315789,0.11907362445115961,equivalent,1.0,,,,,,,,
emp_ubin,u_bin=0.8-1.0,pfifo,edd,1,64,64,625.2417375,625.2417375,0.0,0.0,0.0,6.252417375,1.0,1.0,equivalent,625.2417375,v1_pool,623.3057635416667,0.31059779510668534,64.0,64.0,1.9359739583333349,0.29486875000001306,4.3134097395833315,6.233057635416667,0.023789604192528985,equivalent,1.0,,,,,,,,
