scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=0.8,edd,wmdd,rule-vs-rule,180,180,447.546668888889,446.6359855555555,-0.9106833333333355,-1.6539049999999997,-0.3211556944444455,4.47546668888889,0.005033508200606249,0.04530157380545624,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,lpt,wmdd,rule-vs-rule,180,180,447.546668888889,455.3309055555556,7.784236666666663,0.5614955277777759,19.026728555555543,4.47546668888889,0.12585852473931722,0.3775755742179516,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,pfifo,wmdd,rule-vs-rule,180,180,447.546668888889,446.6359855555555,-0.9106833333333355,-1.6605974166666713,-0.3199800000000001,4.47546668888889,0.005033508200606249,0.04530157380545624,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,random,wmdd,rule-vs-rule,180,180,447.546668888889,450.5859366666666,3.0392677777777757,1.0320003333333283,5.810074777777773,4.47546668888889,0.0002669815329454508,0.0037377414612363115,inconclusive,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wspt,wmdd,rule-vs-rule,180,180,447.546668888889,450.36247,2.815801111111099,1.671701027777775,4.17606699999999,4.47546668888889,3.6474706049101315e-07,6.173419325837953e-06,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,rollcp2,wmdd,optimizer-vs-rule,48,48,507.2193041666667,506.0364666666667,-1.1828374999999969,-3.377097083333324,0.061391666666659225,5.072193041666667,0.028524000718169275,0.08557200215450783,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl301,wmdd,policy-vs-rule,180,180,447.546668888889,446.28743666666657,-1.2592322222222245,-2.382300722222222,-0.34123844444444457,4.47546668888889,0.01306396083306817,0.22208733416215887,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl302,wmdd,policy-vs-rule,180,180,447.546668888889,446.3246544444444,-1.2220144444444454,-2.2889823888888943,-0.3238675277777814,4.47546668888889,0.008360653818070695,0.16721307636141391,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl303,wmdd,policy-vs-rule,180,180,447.546668888889,446.31832333333347,-1.2283455555555596,-2.2553489166666667,-0.40582363888889095,4.47546668888889,0.005233909190788298,0.12037991138813084,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl304,wmdd,policy-vs-rule,180,180,447.546668888889,446.63492999999994,-0.9117388888888933,-1.7651951388888945,-0.21251427777777965,4.47546668888889,0.017058718531494516,0.2558807779724177,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl305,wmdd,policy-vs-rule,180,180,447.546668888889,446.3163366666667,-1.2303322222222233,-2.305990472222225,-0.35433088888889286,4.47546668888889,0.008360653818070695,0.16721307636141391,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl306,wmdd,policy-vs-rule,180,180,447.546668888889,446.7369966666667,-0.8096722222222228,-1.8680464444444456,0.1384595833333351,4.47546668888889,0.055719324352751155,0.44575459482200924,equivalent,final-empirical,0.8,
