scope_type,scope,method,n_rows,coverage,mean,best_method,mean_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=1.0,v2rl310,227,1.0,462.4837118942732,wmdd,454.9875286343613,227,227,7.496183259911897,-0.22394321585903434,17.632660088105734,4.549875286343612,0.7676577617530682,inconclusive,0,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wmdd,227,1.0,454.9875286343613,wmdd,454.9875286343613,227,227,0.0,0.0,0.0,4.549875286343613,1.0,equivalent,1,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wspt,227,1.0,461.6134149779736,wmdd,454.9875286343613,227,227,6.625886343612334,3.1004677092510957,11.000077290748893,4.549875286343612,1.2358039144140826e-07,inconclusive,0,final-empirical,1.0,
scope,regime=final-gen|crew_multiplier=1.0,atc,300,1.0,3357.982747666667,v2rl310,3327.4247600000003,300,300,30.557987666666715,15.887877808333476,45.70867110000023,33.2742476,1.8712216348809548e-10,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,edd,300,1.0,3334.122935,v2rl310,3327.4247600000003,300,300,6.698174999999851,-6.86438404166672,19.657862241666553,33.2742476,0.0006136850593176752,equivalent,1,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,lpt,300,1.0,43030.63908933334,v2rl310,3327.4247600000003,300,300,39703.214329333336,33899.49963965,45727.711746583336,33.2742476,5.588040871311064e-49,worse,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,pfifo,300,1.0,3333.9263703333336,v2rl310,3327.4247600000003,300,300,6.501610333333144,-6.728978150000251,19.51625244999973,33.2742476,0.0006357724736103192,equivalent,1,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,random,300,1.0,13236.397561333331,v2rl310,3327.4247600000003,300,300,9908.972801333332,8247.607171099997,11694.517753099995,33.2742476,1.1325598492617364e-45,worse,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl301,300,1.0,3405.925198666667,v2rl310,3327.4247600000003,300,300,78.50043866666677,38.90807154999993,126.60056285000029,33.2742476,9.483859260813102e-10,worse,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl302,300,1.0,3375.0660693333334,v2rl310,3327.4247600000003,300,300,47.641309333333325,21.079562716666583,80.96347339999971,33.2742476,9.846289951738677e-06,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl303,300,1.0,3978.4179933333335,v2rl310,3327.4247600000003,300,300,650.9932333333333,483.3076481833332,837.282271283333,33.2742476,8.840200397044086e-34,worse,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl304,300,1.0,3327.798242,v2rl310,3327.4247600000003,300,300,0.3734820000000432,-10.84113201666672,9.779580999999911,33.2742476,6.954316017624112e-05,equivalent,1,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl305,300,1.0,3348.4978573333333,v2rl310,3327.4247600000003,300,300,21.073097333333127,5.1654429999999225,40.89655946666637,33.2742476,0.1175021504724866,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl306,300,1.0,3389.076286666667,v2rl310,3327.4247600000003,300,300,61.65152666666666,27.431982216666604,101.89950749999974,33.2742476,9.528757769060986e-10,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl307,300,1.0,3377.832616,v2rl310,3327.4247600000003,300,300,50.40785600000004,24.19367668333334,83.21542686666687,33.2742476,9.925193862716618e-08,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl308,300,1.0,3328.3634653333334,v2rl310,3327.4247600000003,300,300,0.9387053333334383,-6.783957316666471,7.940085900000325,33.2742476,6.054019876734336e-05,equivalent,1,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl309,300,1.0,3919.4518896666664,v2rl310,3327.4247600000003,300,300,592.0271296666667,442.06021088333324,758.1429185750003,33.2742476,1.2443196061019236e-36,worse,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl310,300,1.0,3327.4247600000003,v2rl310,3327.4247600000003,300,300,0.0,0.0,0.0,33.2742476,1.0,equivalent,1,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,wmdd,300,1.0,3354.9370946666663,v2rl310,3327.4247600000003,300,300,27.512334666666405,12.968985349999693,41.916591233333044,33.2742476,7.101474159148261e-08,inconclusive,0,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,wspt,300,1.0,4064.612579,v2rl310,3327.4247600000003,300,300,737.187819,618.4799754833333,861.3556706583332,33.2742476,1.5405315312352948e-46,worse,0,final-gen,1.0,
u_bin,u_bin=0.5-0.8,atc,223,1.0,1086.939262780269,rollcp2,789.3171877551022,49,31,3.9725469387754995,0.12580148129423732,10.91747131543922,7.89317187755102,0.35996260633774335,inconclusive,0,,,0.5-0.8
u_bin,u_bin=0.5-0.8,edd,223,1.0,1085.0854233183857,rollcp2,789.3171877551022,49,31,0.453595918367338,-0.04506194782609589,1.0750330196078448,7.89317187755102,0.013179630792288639,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,lpt,223,1.0,1183.6906385650225,rollcp2,789.3171877551022,49,31,36.37926530612246,0.3916456513243371,100.88930734693884,7.89317187755102,0.5697665738062406,inconclusive,0,,,0.5-0.8
u_bin,u_bin=0.5-0.8,pfifo,223,1.0,1085.0854233183857,rollcp2,789.3171877551022,49,31,0.453595918367338,-0.047940198209731597,1.0874259545454308,7.89317187755102,0.013179630792288639,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,random,223,1.0,1101.8016376681614,rollcp2,789.3171877551022,49,31,11.268179591836724,1.4833467346938618,29.366380502717373,7.89317187755102,0.037911606233696785,inconclusive,0,,,0.5-0.8
u_bin,u_bin=0.5-0.8,rollcp2,49,0.21973094170403587,789.3171877551022,rollcp2,789.3171877551022,49,31,0.0,0.0,0.0,7.893171877551022,1.0,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl301,223,1.0,1084.4455058295964,rollcp2,789.3171877551022,49,31,-0.30597551020409103,-1.246841929347832,0.4070934755101745,7.89317187755102,0.010430157537218576,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl302,223,1.0,1084.5284475336323,rollcp2,789.3171877551022,49,31,-0.2924408163265362,-0.8879434920634969,0.12636250231266327,7.89317187755102,0.0018289978515826975,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl303,223,1.0,1084.7997632286995,rollcp2,789.3171877551022,49,31,-1.2051755102040929,-3.621294428769689,0.05428933423910474,7.89317187755102,0.0018289978515826975,equivalent,1,,,0.5-0.8
