scope_type,scope,method,n_rows,mean,regime,crew_multiplier,u_bin
u_bin,u_bin=1.0-1.2,edd,124,2718.3111629032255,,,1.0-1.2
u_bin,u_bin=1.0-1.2,lpt,124,33111.38951935484,,,1.0-1.2
u_bin,u_bin=1.0-1.2,pfifo,124,2717.8240274193545,,,1.0-1.2
u_bin,u_bin=1.0-1.2,random,124,9413.30588064516,,,1.0-1.2
u_bin,u_bin=1.0-1.2,rollcp2,8,631.8921750000001,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl301,124,2745.1159725806456,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl302,124,2732.26220483871,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl303,124,3000.9193612903223,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl304,124,2716.4676000000004,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl305,124,2723.2500306451607,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl306,124,2747.906727419355,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl307,124,2735.236406451613,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl308,124,2718.4116758064515,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl309,124,2995.1958661290323,,,1.0-1.2
u_bin,u_bin=1.0-1.2,v2rl310,124,2713.436914516129,,,1.0-1.2
u_bin,u_bin=1.0-1.2,wmdd,124,2741.982572580645,,,1.0-1.2
u_bin,u_bin=1.0-1.2,wspt,124,3219.568345967742,,,1.0-1.2
u_bin,u_bin=<0.5,atc,195,235.1378512820513,,,<0.5
u_bin,u_bin=<0.5,edd,195,234.65056307692308,,,<0.5
u_bin,u_bin=<0.5,lpt,195,234.88159282051282,,,<0.5
u_bin,u_bin=<0.5,pfifo,195,234.65056307692308,,,<0.5
u_bin,u_bin=<0.5,random,195,235.4442676923077,,,<0.5
u_bin,u_bin=<0.5,rollcp2,59,300.3870508474576,,,<0.5
u_bin,u_bin=<0.5,v2rl301,195,234.6283415384615,,,<0.5
u_bin,u_bin=<0.5,v2rl302,195,234.5710287179487,,,<0.5
u_bin,u_bin=<0.5,v2rl303,195,234.60509641025638,,,<0.5
u_bin,u_bin=<0.5,v2rl304,195,234.68398358974358,,,<0.5
u_bin,u_bin=<0.5,v2rl305,195,234.60575282051283,,,<0.5
u_bin,u_bin=<0.5,v2rl306,195,234.8055476923077,,,<0.5
u_bin,u_bin=<0.5,v2rl307,195,234.6209323076923,,,<0.5
u_bin,u_bin=<0.5,v2rl308,195,234.6484646153846,,,<0.5
u_bin,u_bin=<0.5,v2rl309,195,234.7815169230769,,,<0.5
u_bin,u_bin=<0.5,v2rl310,195,234.5759507692308,,,<0.5
u_bin,u_bin=<0.5,wmdd,195,235.12146564102565,,,<0.5
u_bin,u_bin=<0.5,wspt,195,235.98889128205127,,,<0.5
u_bin,u_bin=>=1.2,atc,179,1729.3418407821232,,,>=1.2
u_bin,u_bin=>=1.2,edd,179,1718.143169273743,,,>=1.2
u_bin,u_bin=>=1.2,lpt,179,37639.08770837989,,,>=1.2
u_bin,u_bin=>=1.2,pfifo,179,1718.1511882681561,,,>=1.2
u_bin,u_bin=>=1.2,random,179,12140.416125139662,,,>=1.2
u_bin,u_bin=>=1.2,rollcp2,29,264.21858620689653,,,>=1.2
u_bin,u_bin=>=1.2,v2rl301,179,1875.660994413408,,,>=1.2
u_bin,u_bin=>=1.2,v2rl302,179,1790.351717318436,,,>=1.2
u_bin,u_bin=>=1.2,v2rl303,179,2622.6831966480445,,,>=1.2
u_bin,u_bin=>=1.2,v2rl304,179,1722.4802782122906,,,>=1.2
u_bin,u_bin=>=1.2,v2rl305,179,1783.4350558659219,,,>=1.2
u_bin,u_bin=>=1.2,v2rl306,179,1847.712661452514,,,>=1.2
u_bin,u_bin=>=1.2,v2rl307,179,1825.5029229050278,,,>=1.2
u_bin,u_bin=>=1.2,v2rl308,179,1729.0298290502797,,,>=1.2
u_bin,u_bin=>=1.2,v2rl309,179,2479.1456843575425,,,>=1.2
u_bin,u_bin=>=1.2,v2rl310,179,1717.1265318435755,,,>=1.2
u_bin,u_bin=>=1.2,wmdd,179,1721.7309944134079,,,>=1.2
u_bin,u_bin=>=1.2,wspt,179,2442.178861452514,,,>=1.2
