regime,campus,u_target,u_realized_mean,method,mean_wwt,mean_breach_share,n
storm2,9,1.3,1.299125233164985,v2rl305,928.8701333333333,0.005853209895146744,30
storm2,9,1.3,1.299125233164985,v2rl306,946.9975466666666,0.0059751588606316965,30
storm2,9,1.3,1.299125233164985,v2rl307,941.1856666666665,0.005919703564209563,30
storm2,9,1.3,1.299125233164985,v2rl308,941.6008666666665,0.0059429141496881365,30
storm2,9,1.3,1.299125233164985,v2rl309,2167.7479000000003,0.021784577922061846,30
storm2,9,1.3,1.299125233164985,v2rl310,924.0744666666667,0.005875101485172405,30
storm2,9,1.3,1.299125233164985,wmdd,930.11356,0.005714470950316397,30
storm2,9,1.3,1.299125233164985,wspt,1560.7299733333336,0.006732574076436193,30
storm2,10,0.7,0.6933173855519528,atc,776.4470866666668,0.0010790221893110666,30
storm2,10,0.7,0.6933173855519528,edd,776.2240333333335,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,lpt,1225.2661933333334,0.0022701021786867273,30
storm2,10,0.7,0.6933173855519528,pfifo,776.2240333333335,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,random,810.6962466666668,0.0012109571061898966,30
storm2,10,0.7,0.6933173855519528,rl301,776.2345133333333,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,rl302,776.2523400000001,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,rl303,776.2333400000001,0.0010689073862968535,30
storm2,10,0.7,0.6908448285308493,rollcp2,1044.2268000000001,0.001257037422895025,8
storm2,10,0.7,0.6933173855519528,v2at301,792.9419933333334,0.0011754343374817267,30
storm2,10,0.7,0.6933173855519528,v2at302,776.2748200000001,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,v2at303,777.3021266666667,0.0010790221893110666,30
storm2,10,0.7,0.6933173855519528,v2at304,777.1616333333334,0.0010790221893110666,30
storm2,10,0.7,0.6933173855519528,v2at305,776.3720200000001,0.0010739647878039603,30
storm2,10,0.7,0.6933173855519528,v2at306,781.20054,0.0010892614007158568,30
storm2,10,0.7,0.6933173855519528,v2at307,776.2669533333334,0.0010689073862968535,30
storm2,10,0.7,0.6933173855519528,v2at308,776.6106066666667,0.0010790221893110666,30
storm2,10,0.7,0.6933173855519528,v2at309,776.5575133333334,0.0010790221893110666,30
