scope_type,regime,campus,size,crew_multiplier,arrival_multiplier,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
cell,pmmix,9,400,0.6,1.0,302,atc,90,316.4188933333333,316.4208355555555,-0.0019422222222222748,0.31731050786291415,0,90,0,0
cell,pmmix,9,400,0.6,1.0,303,atc,90,316.16158666666666,316.4208355555555,-0.25924888888889086,1.0,1,88,1,0
cell,pmmix,9,400,0.6,1.0,pooled,atc,270,316.24559851851853,316.4208355555555,-0.17523703703703797,0.7339413024265669,2,266,2,0
cell,pmmix,9,400,0.6,1.0,301,pfifo,90,316.1563155555556,316.16158666666666,-0.005271111111109879,0.31731050786291415,0,90,0,0
cell,pmmix,9,400,0.6,1.0,302,pfifo,90,316.4188933333333,316.16158666666666,0.25730666666666857,1.0,1,88,1,0
cell,pmmix,9,400,0.6,1.0,303,pfifo,90,316.16158666666666,316.16158666666666,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.6,1.0,pooled,pfifo,270,316.24559851851853,316.16158666666666,0.0840118518518529,0.7127018566581784,1,268,1,0
cell,pmmix,9,400,0.6,1.0,301,lpt,90,316.1563155555556,316.17194222222224,-0.015626666666665616,0.31731050786291415,1,89,0,0
cell,pmmix,9,400,0.6,1.0,302,lpt,90,316.4188933333333,316.17194222222224,0.24695111111111284,1.0,2,87,1,0
cell,pmmix,9,400,0.6,1.0,303,lpt,90,316.16158666666666,316.17194222222224,-0.010355555555555737,0.31731050786291415,0,90,0,0
cell,pmmix,9,400,0.6,1.0,pooled,lpt,270,316.24559851851853,316.1719422222223,0.07365629629629716,0.4982248534183389,3,266,1,0
cell,pmmix,9,400,0.8,1.0,301,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,302,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,303,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,pooled,edd,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
