id,campus,track,split,size,regime,crew_multiplier,arrival_multiplier,pm_share_override,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,mean_ms_per_decision,mean_replan_s,u_target,u_realized,eval_set
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,edd,301,1,8.0,31.0486,2.735842,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0006323169218376279,150,0.004215446145584186,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,pfifo,301,1,8.0,31.0486,2.735842,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0003654200118035078,150,0.0024361334120233855,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,wspt,301,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0003427929477766156,150,0.002285286318510771,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,atc,301,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.00045225501526147127,150,0.003015033435076475,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,wmdd,301,1,8.0,31.0486,2.735842,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0003617700422182679,150,0.0024118002814551196,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,lpt,301,1,8.0,31.0486,2.755767333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0003284179838374257,150,0.002189453225582838,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,random,301,1,8.0,31.0486,2.7541006666666665,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0003296129871159792,150,0.002197419914106528,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,rl301,301,1,8.0,31.0486,2.735842,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.06490813207346946,150,0.4327208804897964,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,rl302,302,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.04363713494967669,150,0.29091423299784464,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,rl303,303,1,8.0,31.0486,2.750767333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025734230992384255,150,0.17156153994922838,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl301,301,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025839805020950735,150,0.17226536680633822,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl302,302,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025501722935587168,150,0.1700114862372478,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl303,303,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025957225007005036,150,0.1730481667133669,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl304,304,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0262656609993428,150,0.17510440666228533,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl305,305,1,8.0,31.0486,2.746028,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.026356982067227364,150,0.17571321378151575,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl306,306,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025282399961724877,150,0.16854933307816586,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl307,307,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025635963073000312,150,0.17090642048666874,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl308,308,1,8.0,31.0486,2.746028,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.02545164606999606,150,0.16967764046664038,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl309,309,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.026277123019099236,150,0.17518082012732825,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2rl310,310,1,8.0,31.0486,2.746028,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.025384902954101562,150,0.1692326863606771,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2at301,301,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.07742715394124389,150,0.5161810262749592,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2at302,302,1,8.0,31.0486,2.7540986666666667,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.07876945694442838,150,0.5251297129628559,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2at303,303,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.0774079910479486,150,0.5160532736529907,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2at304,304,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.12878305406775326,150,0.8585536937850217,,,0.26845079787234044,final
c01_final_150_0002,1,replay,test,150,final-empirical,1.0,1.0,,v2at305,305,1,8.0,31.0486,2.754541333333333,0.006666666666666667,,0.010309278350515464,0.0,0.0,0.08092707407195121,150,0.5395138271463414,,,0.26845079787234044,final
