update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
301,-3.136875,410.680213,0.342883,1.509117,1.213
302,-2.767928,410.680213,0.446385,1.506347,1.487
303,-2.708628,410.680213,0.763457,1.518596,1.281
304,-2.259341,410.680213,0.839853,0.969449,1.524
305,-2.824372,410.680213,0.713308,0.725229,1.228
306,-4.513193,410.680213,0.342745,2.191858,1.398
307,-2.065462,410.680213,0.461981,1.560366,1.166
308,-2.660522,410.680213,0.606130,1.306077,1.481
309,-2.527778,410.680213,0.599942,0.929097,1.252
310,-3.073374,410.680213,0.277339,1.270102,1.387
311,-1.339201,410.680213,0.600016,0.690541,1.152
312,-2.385537,410.680213,0.418599,1.112419,1.538
313,-3.188688,410.680213,0.650992,1.131966,1.204
314,-2.108134,410.680213,0.788980,0.760126,1.444
315,-2.404984,410.680213,0.467365,0.549634,1.183
316,-2.435503,410.680213,0.663087,0.541418,1.466
317,-2.730030,410.680213,0.664592,0.891266,1.209
318,-2.531842,410.680213,0.785975,1.346367,1.456
319,-3.727191,410.680213,0.882460,1.387448,1.240
320,-3.339129,410.680213,0.441177,1.394394,3.025
321,-2.076364,410.680213,0.809298,0.745176,1.180
322,-3.225813,410.680213,0.670931,1.340557,1.432
323,-2.254001,410.680213,0.666636,0.698760,1.018
324,-2.300022,410.680213,0.819250,1.068343,1.401
325,-2.219787,410.680213,0.871914,0.455925,1.252
326,-2.087006,410.680213,0.859389,0.799766,1.603
327,-1.163874,410.680213,0.702721,1.331280,1.175
328,-4.166148,410.680213,0.710070,1.222729,1.481
329,-2.490581,410.680213,0.336853,0.786436,1.250
330,-4.112586,410.680213,0.622832,2.332948,1.498
331,-3.144069,410.680213,0.839104,2.190735,1.241
332,-2.780609,410.680213,0.481962,1.496846,1.309
333,-3.481674,410.680213,0.503640,1.388246,0.988
334,-1.701990,410.680213,0.658408,1.110484,1.360
335,-2.866190,410.680213,0.614193,0.892250,1.348
336,-4.693328,410.680213,0.638157,1.595732,1.340
337,-2.560053,410.680213,0.664818,1.048846,1.094
338,-2.766021,410.680213,0.832053,1.027391,1.528
339,-2.920264,410.680213,0.863285,0.691157,1.276
340,-4.460628,410.680213,0.415736,2.036521,3.027
341,-1.953813,410.680213,0.481882,1.357254,1.192
342,-3.214564,410.680213,0.465809,1.329990,1.455
343,-1.913276,410.680213,0.617135,1.460569,1.275
344,-4.795627,410.680213,0.581959,2.041114,1.513
345,-5.019194,410.680213,0.625794,4.858633,1.392
346,-2.024604,410.680213,0.634571,1.091152,1.385
347,-2.693085,410.680213,0.617390,1.611279,1.010
348,-4.215634,410.680213,0.866393,2.253508,1.322
349,-1.226960,410.680213,0.599593,0.391240,1.087
350,-2.997441,410.680213,0.592254,1.116450,1.260
351,-1.481864,410.680213,0.506105,0.562578,1.067
352,-1.364139,410.680213,0.528478,0.611438,1.321
353,-3.361590,410.680213,0.423407,0.875575,1.109
354,-2.854235,410.680213,0.536912,0.941372,1.426
355,-1.026419,410.680213,0.663231,0.747095,1.214
356,-3.059679,410.680213,0.514230,1.214420,1.457
357,-5.068744,410.680213,0.471630,2.164902,1.200
358,-2.346385,410.680213,0.293031,1.128234,1.466
359,-1.735285,410.680213,0.756418,1.450880,1.213
360,-2.828962,410.680213,0.295039,1.287750,3.105
361,-1.817316,410.680213,0.692798,0.873812,1.384
362,-1.102287,410.680213,0.836136,0.865585,1.481
363,-2.335487,410.680213,0.614747,1.312080,1.172
364,-1.527853,410.680213,1.030106,0.649482,1.578
365,-2.539511,410.680213,0.734128,0.885524,1.151
366,-3.256140,410.680213,0.276163,1.440279,1.398
367,-3.287579,410.680213,0.846092,1.308341,1.251
368,-2.921679,410.680213,0.739815,1.167815,1.497
369,-2.194681,410.680213,0.774712,0.818997,1.208
370,-2.524974,410.680213,0.615828,1.196875,1.471
371,-1.350188,410.680213,0.527383,0.819774,1.115
372,-1.278984,410.680213,1.023915,0.643012,1.505
373,-3.464254,410.680213,0.640799,1.238958,1.168
374,-2.048695,410.680213,0.745305,0.806733,1.413
375,-2.709788,410.680213,0.506893,1.709861,1.136
376,-2.511147,410.680213,0.468911,0.838541,1.511
377,-3.147271,410.680213,0.599499,0.760817,1.231
378,-2.744912,410.680213,0.569617,0.872742,1.546
379,-3.773490,410.680213,0.568581,1.736421,1.254
380,-3.316394,410.680213,0.795273,1.664846,3.176
381,-3.277157,410.680213,0.768610,1.067917,1.232
382,-2.101581,410.680213,0.688025,1.501113,1.497
383,-2.646694,410.680213,0.702310,0.980297,1.259
384,-2.486161,410.680213,0.250359,0.987306,1.437
385,-4.381188,410.680213,0.575828,1.691687,1.280
386,-2.141234,410.680213,0.710596,0.735270,1.489
387,-3.288014,410.680213,0.682355,2.274869,1.277
388,-3.541353,410.680213,0.441057,1.641761,1.449
389,-2.598906,410.680213,0.708384,1.750473,1.182
390,-2.512569,410.680213,0.592125,0.925490,1.454
391,-2.802192,410.680213,0.426144,1.380428,1.118
392,-2.012413,410.680213,0.526318,1.898168,1.475
393,-3.347402,410.680213,0.763616,1.168029,1.288
394,-1.942140,410.680213,0.918373,0.973351,1.499
395,-2.794683,410.680213,0.470838,0.845493,1.148
396,-3.795354,410.680213,0.683495,1.803125,1.482
